number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
11,TWK,"Seorang ASN di bidang perizinan lingkungan hidup menolak menandatangani AMDAL sebuah pabrik kimia karena pabrik tersebut membuang limbah langsung ke perairan yang menjadi sumber air bersih warga miskin sekitar. Pihak korporasi menyuap atasannya, yang kemudian mengancam akan memecat ASN tersebut. Sikap ASN tersebut secara filosofis mengamalkan sinergitas Sila...",Sila Ke-1 dan Sila Ke-3,Sila Ke-3 dan Sila Ke-4,Sila Ke-2 dan Sila Ke-5,Sila Ke-1 dan Sila Ke-4,Sila Ke-4 dan Sila Ke-5,0,0,5,0,0,Pilar Negara (Pancasila). Menolak pencemaran yang membunuh perlahan sumber air warga miskin adalah wujud Kemanusiaan (Sila ke-2: tidak biadab) dan Keadilan Sosial (Sila ke-5: tidak mengorbankan kaum marginal demi kapitalisme korporat/atasan).,Pilar Negara
12,TWK,"Dalam diplomasi bilateral, Pemerintah Indonesia menandatangani perjanjian pembangunan infrastruktur dengan negara asing senilai triliunan rupiah. Namun, draf kontrak utama hanya dibuat dalam bahasa negara asing tersebut. Berdasarkan UU No. 24 Tahun 2009 tentang Bendera, Bahasa, dan Lambang Negara, implikasi hukum dari kasus ini adalah...",Perjanjian tersebut otomatis mengikat secara hukum internasional meskipun melanggar hukum nasional,Kontrak tersebut berpotensi batal demi hukum karena UU mewajibkan perjanjian yang melibatkan lembaga negara/warga negara RI dibuat dalam bahasa Indonesia (atau dwibahasa yang ekuivalen),Pemerintah Indonesia harus segera mendaftarkan penerjemah tersumpah ke pengadilan arbitrase,Hal tersebut dibenarkan jika negara asing tersebut bertindak sebagai pihak yang memberikan pinjaman penuh (kreditur),"Undang-undang bahasa hanya berlaku untuk dokumen masyarakat sipil, bukan perjanjian kenegaraan antarpemerintah",0,5,0,0,0,"Bahasa Negara (Supremasi Hukum). Pasal 31 UU No. $24/2009$ menyatakan bahwa MoU/Perjanjian yang melibatkan Pemerintah RI/Swasta/WNI *wajib* menggunakan Bahasa Indonesia. Jika melibatkan pihak asing, ditulis dalam bahasa nasional pihak asing dan/atau bahasa Inggris. Ketiadaan versi Bahasa Indonesia menyebabkan kontrak tersebut cacat formil (batal demi hukum).",Bahasa Negara
13,TWK,"Penggunaan *Local Currency Settlement* (LCS) atau transaksi perdagangan bilateral menggunakan mata uang lokal (bukan US Dollar) yang digagas oleh Bank Indonesia merupakan terobosan ekonomi makro. Jika dikontekstualisasikan, kebijakan dedolarisasi ini merupakan bentuk nyata dari...",Sikap anti-Amerika yang ditunjukkan secara diplomatis,Bela negara melalui ketahanan ekonomi makro untuk melindungi stabilitas nilai tukar Rupiah dari fluktuasi geopolitik global dan hegemoni mata uang asing,Persiapan Indonesia untuk menggabungkan mata uangnya dengan negara-negara ASEAN,Kegagalan pemerintah dalam mengumpulkan cadangan devisa berbentuk Dollar AS,Tindakan ilegal yang melanggar kesepakatan lembaga moneter internasional (IMF),0,5,0,0,0,"Bela Negara (Ketahanan Ekonomi). Dedolarisasi (LCS) mengurangi ketergantungan pada *hard currency* (Dollar AS). Ini memperkuat kedaulatan moneter dan melindungi nilai tukar Rupiah dari guncangan global, yang merupakan esensi pertahanan ekonomi (Bela Negara) nirmiliter.",Bela Negara
14,TWK,"Dalam penyelenggaraan pemilihan umum, fenomena *money politics* (politik uang) dan kampanye hitam berbasis identitas agama merusak rasionalitas pemilih. Berdasarkan prinsip Demokrasi Pancasila yang terkandung dalam Sila Keempat, kerusakan terdalam dari praktik ini adalah...",Terbuangnya anggaran negara yang disiapkan KPU untuk logistik pemilu,Berkurangnya partisipasi pemilih pemula yang apatis terhadap dunia politik,"Hancurnya esensi 'hikmat kebijaksanaan' karena kedaulatan rakyat dibajak oleh kekuatan kapital dan sentimen primordial irasional, bukan gagasan dan musyawarah",Memperpanjang masa kampanye sehingga mengganggu aktivitas ekonomi masyarakat,Membuat partai politik kecil kehilangan kesempatan untuk menang di daerah pemilihan,0,0,5,0,0,"Pilar Negara (Pancasila). Sila ke-4 menekankan 'Kerakyatan yang dipimpin oleh hikmat kebijaksanaan'. Politik uang menukar 'hikmat kebijaksanaan' (rasionalitas/gagasan) dengan transaksi finansial, sementara politik identitas mengganti musyawarah dengan kebencian emosional.",Pilar Negara
15,TWK,"Seorang Penjabat (Pj) Kepala Daerah yang ditunjuk oleh Menteri Dalam Negeri melakukan kebijakan perombakan (mutasi) pejabat eselon di daerahnya menjelang masa pemilihan kepala daerah. Secara etika integritas aparatur dan undang-undang pemilu, tindakan ini...",Dibenarkan secara penuh karena Pj Kepala Daerah memiliki wewenang yang sama persis dengan Kepala Daerah definitif,Dibenarkan asalkan pejabat yang dimutasi setuju dan tidak melakukan protes,"Sangat melanggar integritas netralitas ASN dan ketentuan UU Pilkada yang melarang mutasi pejabat 6 bulan sebelum penetapan paslon, kecuali mendapat persetujuan tertulis dari Mendagri",Sebaiknya dilakukan secara tertutup agar tidak memicu kegaduhan di media massa lokal,Sah-sah saja jika tujuannya adalah menyegarkan birokrasi yang dianggap lamban oleh Pj tersebut,0,0,5,0,0,Integritas & Hukum Birokrasi. Undang-Undang (UU No. $10/2016$) melarang keras *incumbent* atau Pj melakukan mutasi pejabat menjelang Pilkada untuk mencegah politisasi birokrasi (mobilisasi ASN). Pengecualian sangat ketat dan wajib izin tertulis Mendagri.,Integritas
16,TWK,Wawasan Nusantara mengajarkan cara pandang holistik terhadap aspek *Astagatra* (Tri Gatra dan Panca Gatra). Salah satu kelemahan strategis dalam aspek Gatra Geografi Indonesia yang berpotensi menjadi ancaman jika tidak diiringi dengan pemerataan ekonomi dan kekuatan maritim adalah...,Tanah yang terlalu subur membuat penduduk malas bekerja keras,"Bentuk negara kepulauan yang memiliki ribuan selat kecil dan garis pantai sangat panjang, membuatnya rentan terhadap infiltrasi, penyelundupan ilegal, dan gerakan separatisme di wilayah terluar",Kondisi iklim tropis yang membuat peralatan militer cepat mengalami korosi (karat),Posisi geografis yang berada di antara dua samudra membuat Indonesia wajib menampung seluruh kapal perang asing yang melintas,Tidak adanya batas darat sama sekali dengan negara tetangga,0,5,0,0,0,"Bela Negara (Wawasan Nusantara). Bentuk geografi kepulauan (*archipelagic state*) adalah anugerah sekaligus *vulnerability* (kerentanan). Garis pantai panjang tanpa pengawasan maritim (*Coast Guard/TNI AL*) dan kesejahteraan yang timpang di perbatasan, memudahkan infiltrasi (*smuggling*, terorisme) dan separatisme.",Bela Negara
17,TWK,"Eufemisme (penghalusan bahasa) sering digunakan oleh aparatur pemerintah untuk meredam kepanikan publik. Misalnya menggunakan istilah 'penyesuaian tarif' alih-alih 'kenaikan harga'. Dari perspektif transparansi birokrasi dan peran Bahasa Negara, penggunaan eufemisme berlebihan yang menutupi substansi riil dapat berakibat...",Meningkatkan kepercayaan publik karena pemerintah dianggap sopan dan beradab dalam berkomunikasi,"Mengaburkan kejujuran informasi publik, mengurangi akuntabilitas kebijakan, dan melanggar prinsip kepastian hukum yang dituntut dalam tata bahasa peraturan perundang-undangan",Melestarikan nilai-nilai budaya feodal yang sangat diperlukan dalam menjaga stabilitas birokrasi lokal,Memperkaya kosa kata Bahasa Indonesia karena memunculkan banyak istilah baru di kamus,Mencegah oposisi politik menemukan celah untuk mengkritik kebijakan ekonomi pemerintah,0,5,0,0,0,"Bahasa Negara (Transparansi). Bahasa birokrasi/hukum harus lugas, jelas, dan tidak taksa (ambigu). Eufemisme yang menutupi kebenaran (*sugar-coating*) mencederai hak publik atas informasi yang jujur dan melemahkan akuntabilitas (integritas) pemerintah.",Bahasa Negara
18,TWK,"Konstitusi UUD 1945 mengamanatkan Bank Indonesia (BI) sebagai bank sentral yang independen. Apabila pemerintah merencanakan undang-undang yang memberikan hak kepada menteri keuangan untuk memiliki hak suara dalam penetapan suku bunga BI (kebijakan moneter), maka secara filosofis ketatanegaraan hal ini akan...",Menguatkan sinergi antara kebijakan moneter dan kebijakan fiskal demi pertumbuhan ekonomi ganda,Menyelamatkan nilai tukar Rupiah karena intervensi politik selalu menguntungkan rakyat kecil,"Mengancam independensi kelembagaan bank sentral yang diamanatkan UUD, berpotensi memicu pencetakan uang untuk membiayai utang politik pemerintah (monetisasi utang) yang berujung pada hiperinflasi",Membuat Bank Indonesia kehilangan seluruh kewenangannya mencetak uang kertas Rupiah,Dibenarkan sepenuhnya selama menteri keuangan mendapatkan persetujuan dari Presiden,0,0,5,0,0,"Pilar Negara (Konstitusi). Independensi BI (Pasal 23D UUD 1945) ditujukan agar kebijakan moneter (suku bunga, inflasi) bersih dari intervensi politik jangka pendek eksekutif. Jika disatukan, penguasa bisa mencetak uang untuk kampanye/proyek populis (*printing money*), memicu hiperinflasi.",Pilar Negara
19,TWK,"Dalam konteks ancaman non-tradisional, fenomena *bioterrorism* atau penggunaan patogen rekayasa genetik dapat melumpuhkan suatu negara lebih cepat daripada senjata nuklir. Perwujudan Bela Negara yang paling esensial dari kementerian kesehatan dan komunitas peneliti biologi nasional adalah...",Menutup seluruh rumah sakit dan menyuruh warga untuk merawat diri mereka sendiri di rumah secara mandiri,Melakukan pembakaran massal terhadap wilayah yang pertama kali terdeteksi patogen tersebut,"Membangun kemandirian *Bio-Security* dan kemandirian produksi vaksin/obat domestik agar tidak bergantung pada hegemoni farmasi asing saat krisis global terjadi, serta memperkuat surveilans epidemiologi",Membeli seluruh stok obat dari negara penyerang sebagai bentuk kompromi diplomatik perlindungan warga sipil,Mewajibkan seluruh peneliti biologi untuk mengenakan seragam militer dan berlatih menembak,0,0,5,0,0,Bela Negara (Ancaman Biologi). Ketahanan nasional kesehatan menuntut kemandirian *Bio-Security* (infrastruktur riset patogen) dan *Bio-Defense* (produksi vaksin domestik) agar kedaulatan negara tidak disandera oleh embargo obat/vaksin negara asing saat pandemi/bioterrorisme terjadi.,Bela Negara
20,TWK,"Seorang staf pengadaan (*procurement*) menemukan adanya persekongkolan tender (kolusi) yang melibatkan atasannya dan pengusaha yang memiliki koneksi politik kuat dengan dewan pengawas instansi. Jika staf tersebut melaporkan, sistem *Whistleblowing* internal kemungkinan bocor dan membahayakan karirnya. Tindakan integritas paling *calculated* (terukur) dan efektif adalah...",Mengundurkan diri dan menceritakan kasus tersebut secara terbuka di *podcast* YouTube agar viral,Melaporkan kolusi tersebut dengan bukti autentik secara anonim melalui sistem pengaduan yang dikelola langsung oleh institusi independen eksternal (seperti KPK atau LKPP) dengan memanfaatkan perlindungan LPSK,Mengambil cuti panjang untuk menghindari keterlibatan langsung dalam proyek bermasalah tersebut tanpa melaporkannya,Mengirim pesan ancaman kaleng kepada pengusaha tersebut agar ia mundur dari tender,Tetap bekerja seperti biasa namun pura-pura tidak tahu saat diaudit oleh pihak berwajib,0,5,0,0,0,"Integritas (*Whistleblowing*). Menghadapi korupsi sistemik yang dikuasai oligarki internal (*conflict of interest* di dewan pengawas), *whistleblower* harus melindungi diri. Lapor ke eksternal independen (KPK) dengan perlindungan (LPSK) adalah *Calculated Bravery* yang sah dan efektif.",Integritas
21,TWK,"Kekerasan seksual berbasis gender (KSBG) di ruang publik atau lingkungan kerja sering kali dinormalisasi dengan alasan budaya patriarki atau candaan (*jokes*). Dari perspektif Sila Kedua Pancasila, pembiaran terhadap kultur ini oleh aparatur sipil negara adalah...",Sebuah bentuk toleransi terhadap kebebasan berekspresi antar rekan kerja,Sikap netral agar tidak terjadi konflik internal di dalam birokrasi pemerintahan,"Pelanggaran fundamental terhadap pengakuan harkat dan martabat manusia yang beradab, yang mensyaratkan lingkungan kerja aman dan setara bagi setiap individu tanpa memandang gender",Kelemahan teknis yang harus diselesaikan oleh bagian kepegawaian (HRD) saja,Sikap bijaksana untuk memisahkan urusan personal dengan urusan dinas resmi,0,0,5,0,0,"Pilar Negara (Pancasila). Pembiaran kekerasan/pelecehan (bahkan verbal) melanggar esensi 'Kemanusiaan yang Adil dan Beradab'. Aparatur negara harus menghapuskan diskriminasi dan menjamin harkat martabat manusia yang beradab (setara, aman) di ekosistem mana pun.",Pilar Negara
22,TWK,Sebuah LSM Internasional menuduh pemerintah Indonesia melanggar HAM karena membubarkan kelompok separatis bersenjata di wilayah timur Indonesia secara represif. Jawaban diplomasi pemerintah Indonesia yang paling merepresentasikan kedaulatan NKRI dan hukum internasional adalah...,Indonesia mengakui kesalahan tersebut dan berjanji akan memberikan kemerdekaan bagi wilayah timur,"Menegaskan bahwa pembubaran tersebut adalah operasi penegakan hukum dalam negeri terhadap KKB (Kelompok Kriminal Bersenjata) yang melakukan terorisme domestik terhadap warga sipil, di mana negara wajib hadir melindungi kedaulatan dan nyawa warganya",Meminta maaf kepada LSM tersebut dan menarik seluruh aparat keamanan dari wilayah konflik untuk sementara waktu,Melarang masuk semua LSM internasional ke Indonesia secara permanen agar tidak ada lagi kritik terhadap kebijakan pemerintah,Meminta Dewan Keamanan PBB untuk mengambil alih pengelolaan keamanan di wilayah timur Indonesia,0,5,0,0,0,"Bela Negara & Kedaulatan. Menghadapi separatisme bersenjata yang membunuh sipil, kedaulatan (*sovereignty*) negara mengharuskan intervensi penegakan hukum domestik (bukan operasi militer agresi). KKB adalah entitas terorisme domestik, bukan subjek hukum humaniter antarnegara. Negara memonopoli penggunaan kekuatan sah untuk melindungi rakyatnya.",Bela Negara
23,TWK,"Untuk mengurangi defisit APBN, pemerintah menerbitkan instrumen Surat Berharga Negara (SBN) Ritel yang diperuntukkan khusus bagi investor individu Warga Negara Indonesia. Dilihat dari sisi kemandirian fiskal dan konsep Bela Negara, partisipasi masyarakat membeli SBN Ritel ini bermakna...",Mendapatkan keuntungan bunga yang tinggi jauh melampaui investasi saham yang berisiko,Menghindarkan uang masyarakat dari pajak simpanan di bank konvensional,Mewujudkan kedaulatan fiskal (pembiayaan pembangunan yang tidak bergantung pada utang luar negeri yang memiliki syarat politik) melalui partisipasi aktif ekonomi kerakyatan,Memberikan jaminan kepada masyarakat bahwa mereka kelak akan diprioritaskan menjadi Pegawai Negeri Sipil,Mengurangi beban kerja Bank Indonesia dalam mengontrol peredaran uang kartal di pasar,0,0,5,0,0,"Bela Negara (Ekonomi). Membeli obligasi negara domestik (SBN Ritel) adalah wujud patriotisme finansial. Ini mengurangi *foreign ownership* (kepemilikan asing) atas utang negara, mencegah intervensi politik asing, dan membiayai pembangunan dengan kekuatan *domestic capital*.",Bela Negara
24,TWK,"Dalam hierarki perundang-undangan (UU No. 12 Tahun 2011), Peraturan Presiden (Perpres) kedudukannya berada di bawah Peraturan Pemerintah (PP). Jika sebuah Perpres yang memuat aturan investasi baru ternyata bertentangan dengan materi muatan PP tentang tata ruang, asas hukum yang digunakan untuk membatalkan Perpres tersebut adalah...",Asas Lex Specialis Derogat Legi Generali (aturan khusus mengesampingkan aturan umum),Asas Lex Superior Derogat Legi Inferiori (aturan yang lebih tinggi mengesampingkan aturan yang lebih rendah),Asas Lex Posterior Derogat Legi Priori (aturan baru mengesampingkan aturan lama),Asas Ne Bis In Idem (tidak ada yang dapat diadili dua kali),Asas Retroaktif (hukum dapat diberlakukan surut ke belakang),0,5,0,0,0,"Pilar Negara (Ilmu Hukum). Karena PP memiliki hierarki lebih tinggi dari Perpres, jika terjadi pertentangan materi, maka berlaku asas *Lex Superior Derogat Legi Inferiori* (Aturan lebih tinggi mengalahkan/mengesampingkan yang lebih rendah).",Pilar Negara
