number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
11,TWK,"Akuntabilitas adalah salah satu pilar integritas institusi. Namun, demi pencitraan politik menjelang pemilihan, kepala daerah memerintahkan dinas statistik untuk sedikit memoles data angka pengangguran agar terlihat menurun drastis. Sikap Kepala Dinas Statistik yang berintegritas adalah...",Melaksanakan perintah tersebut karena Kepala Daerah adalah pejabat pembina kepegawaian yang sah,"Menolak instruksi tersebut, mempublikasikan data riil dengan metodologi yang dapat dipertanggungjawabkan secara akademik, meski berisiko dicopot dari jabatan",Melakukan kompromi dengan menurunkan sedikit angkanya agar kepala daerah senang namun tidak terlalu jauh dari fakta,Menyalahkan staf lapangan karena gagal mengumpulkan data yang sesuai dengan keinginan kepala daerah,Mengundurkan diri diam-diam tanpa merilis data apa pun agar terhindar dari konflik politik,0,5,0,0,0,Integritas aparatur statistik adalah memegang teguh objektivitas ilmiah dan akuntabilitas data. Memanipulasi data publik (kebohongan publik) melanggar sumpah jabatan. Menolak manipulasi dan menyajikan fakta adalah bentuk keberanian berintegritas tingkat tinggi.,Integritas
12,TWK,"Penggunaan aplikasi *Work From Anywhere* (WFA) memunculkan tantangan baru terkait integritas. Seorang pegawai memanfaatkan celah pada aplikasi presensi (*Fake GPS*) agar terlihat sedang bertugas di lapangan, padahal ia berada di kafe mengerjakan pekerjaan sampingan. Dampak filosofis terbesar dari perbuatannya terhadap institusi negara adalah...",Instansi terpaksa mengeluarkan anggaran ekstra untuk memperbaiki aplikasi presensi,Meningkatkan produktivitas pegawai tersebut karena ia memiliki penghasilan ganda,Melemahkan legitimasi moral instansi di mata publik dan mengkhianati amanat pelayanan publik yang didanai oleh pajak rakyat,Memancing pegawai lain untuk ikut membuka bisnis di kafe,Tidak ada dampak berarti selama pekerjaan utamanya masih bisa diselesaikan di malam hari,0,0,5,0,0,"Kecurangan presensi (korupsi waktu/disiplin) bukan sekadar masalah teknis IT, melainkan cacat moral. Dampak filosofisnya adalah pengkhianatan terhadap kontrak sosial dengan rakyat (pembayar pajak) yang menggaji ASN untuk melayani publik penuh waktu.",Integritas
13,TWK,"Ancaman bela negara di abad ke-21 tidak lagi berbentuk invasi militer, melainkan _cognitive warfare_ (perang kognitif) yang merusak otak dan nalar generasi muda. Contoh nyata dari perang kognitif yang paling masif menghancurkan kualitas ketahanan nasional saat ini adalah...",Penyelundupan senjata api ilegal melalui jalur tikus di perbatasan,Dominasi produk fesyen dan kosmetik asing yang mematikan produsen lokal,Serangan terorisme bersenjata yang menyasar objek vital nasional,Eksploitasi algoritma aplikasi judi *online* dan peredaran narkoba jenis baru (*synthetic drugs*) yang merusak psikologis dan daya nalar pemuda secara adiktif,Pencurian ikan secara masif (*illegal fishing*) oleh kapal berbendera asing di perairan zona ekonomi eksklusif,0,0,0,5,0,"*Cognitive warfare* menyerang fungsi otak, nalar, dan psikologi demografi suatu bangsa. Judi online dan *synthetic drugs* adalah senjata non-militer paling merusak saat ini karena menghancurkan kualitas kognitif, produktivitas, dan masa depan generasi muda secara sistematis.",Bela Negara
14,TWK,Seorang insinyur IT ASN di BSSN (Badan Siber dan Sandi Negara) ditawari gaji miliaran rupiah oleh sindikat *hacker* internasional untuk memberikan akses *backdoor* ke server data kependudukan nasional. Ia menolak dan justru memasang perangkap untuk membongkar jaringan *hacker* tersebut. Sikap insinyur ini mencerminkan implementasi...,Bela negara melalui pengabdian profesi dengan mempertahankan kedaulatan siber nasional dari ancaman hibrida,Sikap anti-kolonialisme untuk membalas dendam kepada negara asal *hacker* tersebut,Kepatuhan buta terhadap atasan karena takut ketahuan dan dipecat,Kesombongan intelektual untuk membuktikan bahwa ia lebih pandai dari *hacker* internasional,Kewajiban dasar militer yang harus dilakukan oleh seluruh ASN di lembaga intelijen,5,0,0,0,0,Ruang siber adalah domain pertahanan baru. Menolak suap untuk membocorkan rahasia negara (data kependudukan) dan melakukan *counter-cyber attack* adalah wujud nyata bela negara kontemporer melalui pengabdian profesi spesifik.,Bela Negara
15,TWK,"Dalam kerangka Sistem Pertahanan Keamanan Rakyat Semesta (Sishankamrata), perlindungan terhadap objek vital nasional (seperti kilang minyak dan pembangkit listrik) saat negara dalam keadaan darurat perang tidak hanya dibebankan pada TNI, tetapi juga melibatkan...",Pasukan penjaga perdamaian PBB yang sedang bertugas di Indonesia,Tenaga kerja asing yang bekerja di objek vital tersebut untuk memberikan jaminan keamanan internasional,Komponen Cadangan dan Komponen Pendukung (termasuk karyawan dan warga sekitar) yang telah dipersiapkan untuk mempertahankan kelangsungan hajat hidup negara,"Seluruh warga negara tanpa terkecuali, termasuk anak-anak dan lansia, yang diwajibkan maju ke garis depan",Kelompok paramiliter independen yang disewa oleh perusahaan tersebut,0,0,5,0,0,Konsep Sishankamrata (Pasal 30 UUD 1945) memberdayakan seluruh sumber daya nasional. Karyawan objek vital nasional dan warga terlatih (Komponen Pendukung/Cadangan) memiliki tanggung jawab membela negara di zonanya untuk memastikan logistik negara tidak lumpuh saat krisis.,Bela Negara
16,TWK,Penyebaran ideologi ekstrem kanan (radikalisme agama) dan ekstrem kiri (komunisme gaya baru) sangat masif melalui grup-grup media sosial tertutup. Cara paling strategis dan berlandaskan bela negara bagi masyarakat awam untuk melakukan kontra-radikalisasi adalah...,Melakukan *doxing* (menyebarkan data pribadi) anggota grup tersebut agar mereka dihakimi massa di dunia nyata,Menyusup ke grup tersebut dan menyebarkan virus komputer untuk merusak perangkat mereka,"Memperkuat literasi ideologi Pancasila di lingkungan keluarga, membumikan toleransi dalam tindakan nyata, dan melaporkan aktivitas terindikasi makar ke aparat intelijen/keamanan",Menantang debat pemimpin kelompok ekstrem tersebut di kolom komentar terbuka untuk menunjukkan siapa yang paling benar,Membuat kelompok ekstrem tandingan yang siap melakukan kekerasan fisik terhadap anggota kelompok radikal,0,0,5,0,0,Bela negara nirmiliter dalam menangkal radikalisme tidak boleh menggunakan cara premanisme (*doxing*/kekerasan). Pendekatan yang paling *sustainable* adalah memperkuat ketahanan keluarga (literasi Pancasila) dan sinergi deteksi dini dengan aparat keamanan.,Bela Negara
17,TWK,Sebuah LSM lingkungan internasional yang beroperasi di Indonesia diam-diam memetakan koordinat rahasia pangkalan militer pesisir dengan dalih observasi terumbu karang. Data tersebut kemudian diserahkan kepada pihak asing. Kasus ini merupakan bentuk ancaman pertahanan berupa...,Sabotase ekonomi,Spionase berkedok kegiatan nirlaba,Terorisme ekologis,Agresi militer terbuka,Pemberontakan bersenjata,0,5,0,0,0,"Pemetaan aset vital/militer negara secara klandestin (rahasia) lalu menyerahkannya ke pihak asing adalah definisi murni dari tindakan spionase (mata-mata), meskipun dikamuflasekan dengan aktivitas sipil/LSM lingkungan.",Bela Negara
18,TWK,"Berdasarkan pemahaman geopolitik dan geostrategi Indonesia (Wawasan Nusantara), pemindahan Ibu Kota Negara (IKN) dari Jawa ke Kalimantan memiliki urgensi filosofis bela negara yaitu...",Untuk menghindari bencana alam gempa bumi yang sering terjadi di pesisir selatan Jawa,Menggeser pusat gravitasi pertahanan dan ekonomi ke *Center of Gravity* (titik tengah) Nusantara agar tercipta pemerataan pembangunan dan pengawasan maritim yang lebih seimbang,Meninggalkan bangunan-bangunan tua peninggalan kolonial Belanda di Jakarta,Memudahkan para pejabat negara untuk menjangkau negara-negara tetangga di Asia Timur,Menjual lahan-lahan kosong di Kalimantan kepada investor asing dengan harga tinggi,0,5,0,0,0,"Geostrategi (Wawasan Nusantara) melihat Indonesia secara utuh. Pemindahan IKN ke titik tengah Nusantara (*Center of Gravity*) bermakna strategis untuk memecah Jawasentris, meratakan pembangunan (ekonomi), dan memperkuat rentang kendali pertahanan/keamanan maritim di Alur Laut Kepulauan Indonesia (ALKI) II.",Bela Negara
19,TWK,"Pengamalan Sila Kelima (Keadilan Sosial) acap kali berbenturan dengan Sila Kedua (Kemanusiaan). Contoh: Pemerintah melakukan penggusuran pemukiman kumuh ilegal di bantaran sungai demi normalisasi banjir (keadilan bagi jutaan warga kota), namun warga pemukiman tersebut kehilangan tempat tinggal (kemanusiaan). Sintesis kebijakan yang menjunjung tinggi kedua sila tersebut adalah...",Pemerintah tetap menggusur secara paksa karena kepentingan mayoritas harus dimenangkan mutlak atas minoritas,Pemerintah membatalkan normalisasi sungai dan membiarkan kota banjir setiap tahun demi melindungi pemukiman kumuh tersebut,"Melakukan normalisasi sungai untuk kepentingan umum, diiringi relokasi warga ke rusunawa yang layak, manusiawi, dan dilengkapi fasilitas ekonomi pengganti",Memberikan uang ganti rugi dalam jumlah sangat kecil dan membiarkan warga mencari tempat tinggal sendiri,Meminta bantuan organisasi internasional untuk mengurus tempat tinggal warga yang digusur,0,0,5,0,0,"Nilai-nilai Pancasila bersifat hierarkis piramidal dan saling menjiwai (tidak boleh dipertentangkan). Kepentingan umum (Sila ke-5) harus berjalan, tetapi proses pelaksanaannya tidak boleh biadab; harus humanis, dialogis, dan ada ganti untung/relokasi yang layak (Sila ke-2).",Pilar Negara
20,TWK,"UUD 1945 Pasal 33 ayat (3) mengamanatkan bahwa bumi, air, dan kekayaan alam dikuasai oleh negara dan dipergunakan untuk sebesar-besar kemakmuran rakyat. Implementasi 'dikuasai oleh negara' dalam kerangka demokrasi ekonomi konstitusional bermakna...",Negara memiliki hak kepemilikan mutlak dan menolak campur tangan pihak swasta atau masyarakat dalam sektor ekonomi apa pun,Negara membiarkan mekanisme pasar bebas berjalan seutuhnya tanpa intervensi harga,"Negara memiliki hak penguasaan (mengatur, mengurus, mengelola, dan mengawasi) sektor strategis agar tidak dikuasai segelintir konglomerat (monopoli) yang merugikan rakyat",Negara menyita seluruh aset perusahaan swasta yang mengelola kekayaan alam dan menjadikannya milik pejabat pemerintah,Negara menjual seluruh kekayaan alam kepada investor asing untuk membayar utang luar negeri dengan cepat,0,0,5,0,0,"Berdasarkan tafsir Mahkamah Konstitusi, 'dikuasai oleh negara' BUKAN berarti negara harus 'memiliki' (state ownership mutlak seperti komunis), melainkan negara merumuskan kebijakan, mengatur (*regere*), mengurus (*besturen*), mengelola (*beheren*), dan mengawasi (*toezichthouden*) agar tidak terjadi monopoli/oligarki.",Pilar Negara
21,TWK,Amandemen UUD 1945 menegaskan bahwa kedaulatan berada di tangan rakyat dan dilaksanakan menurut Undang-Undang Dasar (Pasal 1 ayat 2). Konsekuensi logis ketatanegaraan dari perubahan pasal yang sebelumnya berbunyi '...dilaksanakan sepenuhnya oleh MPR' ini adalah...,"MPR tidak lagi menjadi lembaga tertinggi negara, melainkan lembaga tinggi negara yang sejajar kedudukannya dengan Presiden, DPR, DPD, MA, dan MK",Presiden kini bertanggung jawab langsung kepada DPR dan dapat diberhentikan kapan saja karena alasan kebijakan politik,Sistem pemerintahan Indonesia berubah secara otomatis dari Presidensial menjadi Parlementer murni,Kedaulatan rakyat kini diserahkan sepenuhnya kepada partai politik pemenang pemilu tanpa campur tangan lembaga lain,Rakyat dapat langsung membuat undang-undang tanpa perlu melalui persetujuan Dewan Perwakilan Rakyat,5,0,0,0,0,"Penghapusan kata 'sepenuhnya oleh MPR' meruntuhkan supremasi MPR. MPR tidak lagi berkedudukan sebagai Lembaga Tertinggi Negara pemegang kedaulatan mutlak, melainkan sejajar dengan lembaga negara lainnya (prinsip supremasi konstitusi dan *checks and balances*).",Pilar Negara
22,TWK,"Bhinneka Tunggal Ika mengajarkan penerimaan terhadap heterogenitas. Namun, dalam kasus munculnya sekte keagamaan eksklusif yang mengajarkan anggotanya untuk tidak mengakui hukum negara, tidak membayar pajak, dan tidak menghormati bendera merah putih, langkah negara berlandaskan pilar NKRI adalah...",Membiarkan sekte tersebut berkembang karena negara harus menghormati kebebasan beragama mutlak sesuai konstitusi HAM,Melarang dan menindak tegas sekte tersebut secara hukum karena telah melanggar batas ketertiban umum dan menistakan pilar-pilar kedaulatan negara hukum (NKRI),Mengundang pimpinan sekte tersebut masuk ke dalam kabinet pemerintahan agar mereka merasa dihargai,Membatasi akses ekonomi anggota sekte tersebut agar mereka mati kelaparan secara perlahan,Meminta tokoh agama mayoritas untuk menyelesaikan masalah sekte tersebut secara hukum rimba,0,5,0,0,0,"Bhinneka Tunggal Ika dan kebebasan beragama memiliki batasan (Pasal 28J UUD 1945), yaitu tidak boleh melanggar ketertiban umum, hukum positif, dan keamanan nasional. Menolak mengakui hukum negara dan tidak membayar pajak adalah tindakan subversif yang harus ditindak tegas secara hukum.",Pilar Negara
23,TWK,"Pasal 24 UUD 1945 menegaskan tentang kekuasaan kehakiman yang merdeka. Dalam sebuah skandal mega-korupsi yang melibatkan tokoh politik berpengaruh, banyak tekanan publik dan massa pendemo yang menuntut hakim menjatuhkan hukuman mati. Implementasi kekuasaan kehakiman yang merdeka dalam situasi ini berarti hakim harus...",Mengikuti kehendak massa pendemo agar tidak terjadi kerusuhan yang lebih besar di gedung pengadilan,Mendengarkan instruksi rahasia dari Presiden demi menjaga stabilitas politik pemerintahan,Membebaskan terdakwa agar situasi politik kembali tenang dan investasi tidak lari ke luar negeri,"Memutus perkara secara objektif, berlandaskan alat bukti yang sah di persidangan, dan keyakinan nurani berdasarkan hukum (konstitusi), bebas dari intervensi publik maupun penguasa",Menggantung persidangan selama bertahun-tahun sampai masyarakat lupa akan kasus mega-korupsi tersebut,0,0,0,5,0,"Kekuasaan kehakiman yang merdeka berarti independen (bebas dari campur tangan kekuasaan eksekutif/legislatif) dan imparsial (bebas dari tekanan opini publik/massa). Putusan harus murni berdasar fakta persidangan, alat bukti, dan hukum yang berlaku.",Pilar Negara
24,TWK,"Gagasan pembentukan Dewan Perwakilan Daerah (DPD) dalam amandemen UUD 1945 mengadopsi konsep bikameral (dua kamar) dalam perwakilan rakyat. Namun, DPD sering dikritik karena kewenangannya sangat terbatas dibandingkan DPR. Alasan filosofis mengapa kewenangan DPD dalam legislasi dibatasi (bikameral lunak/soft bicameralism) adalah...","Karena Indonesia berbentuk Negara Kesatuan, bukan Negara Serikat (Federal), sehingga penentu utama legislasi nasional tetap berada di tangan representasi politik (DPR), sementara DPD sebatas menyuarakan kepentingan otonomi teritorial",Agar anggaran negara tidak banyak terkuras untuk membiayai fasilitas dan tunjangan anggota DPD di pusat,Karena anggota DPD berasal dari jalur independen yang tidak memiliki pengalaman berpolitik seperti anggota DPR,Agar presiden lebih mudah memveto undang-undang yang diusulkan oleh lembaga legislatif,Untuk memberikan kekuasaan yang lebih besar kepada Mahkamah Konstitusi dalam menguji produk undang-undang,5,0,0,0,0,"Indonesia menganut Negara Kesatuan (*Unitary State*), di mana kedaulatan tidak terbagi ke negara bagian seperti di sistem Federal (AS/Australia). Oleh karena itu, *soft bicameralism* diterapkan agar DPR (representasi rakyat) memegang kuasa legislasi dominan, sementara DPD (representasi daerah/teritorial) memberikan pertimbangan teknis otonomi daerah tanpa hak veto penuh.",Pilar Negara
25,TWK,"Pancasila berkedudukan sebagai *Staatsfundamentalnorm* (Norma Dasar Negara). Konsekuensi yuridis dari kedudukan ini dalam pembentukan peraturan perundang-undangan (Perppu, UU, Perda) di Indonesia adalah...",Setiap peraturan perundang-undangan harus disetujui secara langsung melalui referendum rakyat,Seluruh peraturan yang ada sebelum Pancasila dirumuskan otomatis dibatalkan tanpa terkecuali,Pancasila menjadi sumber dari segala sumber hukum negara; tidak boleh ada satu pun pasal dalam peraturan perundang-undangan yang substansinya bertentangan dengan nilai-nilai Pancasila,"Hanya Undang-Undang Dasar 1945 yang harus tunduk pada Pancasila, sedangkan Peraturan Daerah boleh menyesuaikan dengan tradisi setempat",Mahkamah Agung memiliki hak absolut untuk mengubah teks Pancasila sesuai dengan putusan kasasi,0,0,5,0,0,"*Staatsfundamentalnorm* berarti asas kerohanian dan sumber dari segala sumber hukum (dasar filosofis). Secara yuridis (UU No. 12 Tahun 2011), seluruh hierarki perundang-undangan di bawahnya dilarang bertentangan secara material maupun formal dengan nilai dasar Pancasila.",Pilar Negara
