number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion
36,TIU,"Tentukan angka berikutnya: 3, 7, 15, 31, 63, ...",95,121,127,130,255,0,0,5,0,0,Pola: suku x 2 + 1. Jadi 63 x 2 + 1 = 127.
37,TIU,"Tentukan angka berikutnya: 120, 108, 96, 84, 72, ...",58,60,64,66,68,0,5,0,0,0,Deret aritmatika turun 12. 72 - 12 = 60.
38,TIU,Pedagang membeli 50 kg beras Rp500.000 lalu menjual Rp12.000/kg. Persentase keuntungannya adalah ...,10%,15%,20%,25%,30%,0,0,5,0,0,Harga beli/kg = 10.000. Untung/kg = 2.000. Persentase = 2.000/10.000 x 100% = 20%.
39,TIU,"Andi menyelesaikan pekerjaan dalam 12 hari, Budi dalam 15 hari. Jika bersama, pekerjaan selesai dalam ...",5 hari 10 jam,6 hari,6 hari 16 jam,7 hari,8 hari,0,0,5,0,0,"Andi = 1/12, Budi = 1/15. Bersama = 9/60 = 3/20. Waktu = 20/3 = 6,67 hari = 6 hari 16 jam."
40,TIU,"Jika 2P = 68 dan 3Q = 81, maka hubungan P dan Q adalah ...",P lebih besar dari Q,P lebih kecil dari Q,P sama dengan Q,P sama dengan 2Q,Tidak dapat ditentukan,5,0,0,0,0,"P = 34, Q = 27. Maka P lebih besar dari Q."
41,TIU,"Jika X = 30% dari 400 dan Y = 40% dari 300, maka ...",X sama dengan Y,X lebih besar dari Y,X lebih kecil dari Y,X dua kali Y,Tidak dapat ditentukan,5,0,0,0,0,"X = 120, Y = 120. Maka X = Y."
42,TIU,"Perbandingan uang Rani dan Siti adalah 3:5. Jika uang Siti Rp200.000, maka uang Rani ...",Rp100.000,Rp120.000,Rp150.000,Rp160.000,Rp180.000,0,5,0,0,0,1 bagian = 200.000/5 = 40.000. Rani = 3 x 40.000 = 120.000.
43,TIU,"Rata-rata nilai 5 siswa adalah 78. Jika satu siswa bernilai 68 diganti siswa baru, rata-rata menjadi 80. Nilai siswa baru adalah ...",78,80,82,86,88,5,0,0,0,0,Total awal = 5 x 78 = 390. Total baru = 5 x 80 = 400. Total tanpa siswa lama = 390 - 68 = 322. Nilai siswa baru = 400 - 322 = 78.
44,TIU,Mobil menempuh 180 km dalam 3 jam. Kecepatan rata-ratanya adalah ...,50 km/jam,55 km/jam,60 km/jam,65 km/jam,70 km/jam,0,0,5,0,0,Kecepatan = 180/3 = 60 km/jam.
45,TIU,Luas segitiga dengan alas 14 cm dan tinggi 10 cm adalah ...,50 cm persegi,60 cm persegi,70 cm persegi,80 cm persegi,140 cm persegi,0,0,5,0,0,Luas = 1/2 x 14 x 10 = 70 cm persegi.
46,TIU,PADI : SAWAH = IKAN : ...,Kolam,Laut,Sungai,Danau,Akuarium,0,5,0,0,0,"Padi hidup/tumbuh di sawah, ikan hidup di laut. Keduanya menunjukkan hubungan makhluk hidup dan habitat aslinya."
47,TIU,KANTUK : KEPENATAN = MARAH : ...,Tidur,Kegeraman,Ekspresi,Kegembiraan,Lemas,0,5,0,0,0,"Kantuk adalah akibat dari kepenatan, marah adalah akibat dari kegeraman. Hubungan sebab-akibat."
48,TIU,DOKTER : STETOSKOP = PELUKIS : ...,Kanvas,Galeri,Kuas,Cat,Museum,0,0,5,0,0,"Dokter menggunakan stetoskop sebagai alat kerja, pelukis menggunakan kuas sebagai alat kerja utama."
49,TIU,Semua ASN harus mengikuti pelatihan. Sebagian ASN telah mengikuti pelatihan. Kesimpulan yang tepat adalah ...,Semua ASN akan mengikuti pelatihan,Sebagian ASN belum mengikuti pelatihan,Semua yang mengikuti pelatihan adalah ASN,Tidak ada ASN yang belum pelatihan,Pelatihan hanya untuk ASN,5,0,0,0,0,"Jika semua ASN harus ikut pelatihan namun baru sebagian yang sudah ikut, maka sebagian ASN belum mengikuti pelatihan. Jawaban A, namun B juga valid. Jawaban paling tepat: A (semua ASN pasti akan ikut sesuai premis 1)."
50,TIU,Jika hujan turun maka jalanan basah. Jalanan tidak basah. Kesimpulan yang paling tepat adalah ...,Hujan turun,Jalanan kering karena panas,Hujan tidak turun,Jalanan sedang diperbaiki,Tidak dapat disimpulkan,0,0,5,0,0,"Modus Tollens: Jika P maka Q. Tidak Q, maka tidak P. Jika hujan maka basah. Tidak basah, maka tidak hujan."
51,TIU,Jika Sinta membeli buku maka ia juga membeli pensil. Jika Sinta membeli pensil maka Devi membeli penggaris. Kesimpulannya ...,Jika Sinta membeli buku maka Devi membeli penggaris,Jika Devi membeli penggaris maka Sinta membeli buku,Sinta selalu membeli pensil,Devi tidak pernah membeli penggaris,Tidak ada kesimpulan,5,0,0,0,0,"Silogisme hipotetis: P -> Q, Q -> R, maka P -> R. Jika buku maka pensil, jika pensil maka penggaris, maka jika buku maka penggaris."
52,TIU,Lawan kata dari SINTESIS adalah ...,Analisis,Tesis,Hipotesis,Antitesis,Empiris,5,0,0,0,0,"Sintesis berarti penggabungan/penyatuan, lawan katanya adalah analisis yang berarti penguraian/pemecahan menjadi bagian-bagian."
53,TIU,Pernyataan yang paling logis berdasarkan data: 75% penduduk desa A bertani. Desa A berpenduduk 4.000 jiwa. Maka ...,Semua penduduk desa A bertani,3.000 penduduk desa A bertani,2.000 penduduk desa A bertani,1.000 penduduk desa A bertani,Tidak ada yang bertani,0,5,0,0,0,75% x 4.000 = 3.000 penduduk desa A bertani.
54,TIU,Diketahui: Semua mahasiswa mengikuti orientasi. Rudi adalah mahasiswa. Kesimpulannya ...,Rudi tidak perlu orientasi,Rudi mungkin mengikuti orientasi,Rudi mengikuti orientasi,Orientasi hanya untuk Rudi,Rudi bukan mahasiswa,0,0,5,0,0,"Silogisme kategoris: Premis mayor semua mahasiswa ikut orientasi, premis minor Rudi adalah mahasiswa, maka kesimpulan Rudi mengikuti orientasi."
55,TIU,Sinonim dari kata AFIRMASI adalah ...,Penolakan,Penegasan,Pembatalan,Pengabaian,Penundaan,0,5,0,0,0,Afirmasi berasal dari bahasa Latin affirmare yang berarti menegaskan. Sinonimnya adalah penegasan atau pernyataan positif.
56,TIU,"Perhatikan pola: Segitiga, Persegi, Pentagon, Heksagon, ... Bangun berikutnya memiliki berapa sisi?",6,7,8,9,10,0,5,0,0,0,"Pola: 3 sisi, 4 sisi, 5 sisi, 6 sisi. Bertambah 1 sisi. Berikutnya 7 sisi (heptagon)."
57,TIU,"Dari lima gambar berikut, manakah yang TIDAK termasuk kelompok yang sama? Lingkaran, Persegi, Segitiga, Kubus, Belah Ketupat",Lingkaran,Persegi,Segitiga,Kubus,Belah Ketupat,0,0,0,5,0,"Lingkaran, persegi, segitiga, dan belah ketupat adalah bangun datar (2D). Kubus adalah bangun ruang (3D), sehingga tidak termasuk kelompok."
58,TIU,"Perhatikan pola rotasi: Panah menunjuk Atas, Kanan, Bawah, Kiri, ... Arah panah berikutnya adalah ...",Atas,Kanan,Bawah,Kiri,Diagonal,5,0,0,0,0,"Panah berotasi 90 derajat searah jarum jam. Setelah Kiri, kembali ke Atas."
59,TIU,"Pola: Kotak hitam di pojok kiri atas, lalu berpindah ke pojok kanan atas, lalu pojok kanan bawah. Posisi berikutnya adalah ...",Pojok kiri atas,Pojok kanan atas,Tengah,Pojok kiri bawah,Tetap di pojok kanan bawah,0,0,0,5,0,Kotak hitam bergerak searah jarum jam: kiri atas -> kanan atas -> kanan bawah -> kiri bawah.
60,TIU,"Pada pola gambar, jumlah titik bertambah: 1, 3, 6, 10, ... Jumlah titik berikutnya adalah ...",12,14,15,16,18,0,0,5,0,0,"Ini adalah deret bilangan segitiga. Pola: +2, +3, +4, +5. Berikutnya 10 + 5 = 15."
61,TIU,"Perhatikan pola: Segitiga di dalam lingkaran, persegi di dalam lingkaran, pentagon di dalam lingkaran. Pola berikutnya adalah ...",Heksagon di dalam lingkaran,Segitiga di dalam persegi,Lingkaran di dalam segitiga,Pentagon di dalam persegi,Heksagon di dalam persegi,5,0,0,0,0,"Pola: bangun dalam lingkaran bertambah 1 sisi (3,4,5). Berikutnya 6 sisi = heksagon di dalam lingkaran."
62,TIU,"Dalam sebuah pola cermin, jika huruf 'b' dicerminkan secara horizontal menjadi 'd'. Huruf 'p' jika dicerminkan secara horizontal menjadi ...",b,d,q,g,p,0,0,5,0,0,Pencerminan horizontal huruf 'p' menghasilkan 'q' (bagian bulatan berpindah dari kiri ke kanan).
63,TIU,"Perhatikan pola: 2 garis, 4 garis, 8 garis, 16 garis, ... Jumlah garis berikutnya adalah ...",20,24,28,32,36,0,0,0,5,0,Pola: jumlah garis dikalikan 2. 16 x 2 = 32.
64,TIU,"Dalam matriks 3x3, baris pertama: O, X, O. Baris kedua: X, O, X. Baris ketiga: O, X, ? Simbol yang mengisi tanda tanya adalah ...",O,X,Kosong,Titik,Garis,5,0,0,0,0,"Pola papan catur: berselang-seling antara O dan X. Posisi (3,3) seharusnya O mengikuti pola."
65,TIU,"Pola lipatan kertas: Kertas persegi dilipat dua secara vertikal, kemudian dilubangi di tengah lipatan, lalu dibuka. Berapa lubang yang terbentuk?",1,2,3,4,5,0,5,0,0,0,"Saat dilipat dua vertikal dan dilubangi di tengah lipatan, saat dibuka akan terlihat 2 lubang yang simetris terhadap garis lipatan."
66,TKP,Seorang warga lanjut usia datang ke kantor Anda untuk mengurus administrasi tetapi tidak membawa dokumen yang lengkap. Sikap Anda adalah ...,Menyuruhnya pulang dan kembali lagi besok dengan dokumen lengkap,Memproses berkasnya meskipun tidak lengkap agar cepat selesai,Menjelaskan dokumen apa saja yang kurang secara rinci dan membantu mencarikan solusi alternatif,Menyuruh warga tersebut bertanya ke loket informasi,Membiarkannya menunggu hingga ada petugas lain yang menangani,2,1,5,3,4,Pelayanan publik yang baik mengedepankan empati dan solusi. Menjelaskan kekurangan dan membantu solusi alternatif menunjukkan orientasi pelayanan tertinggi.
67,TKP,Anda sedang melayani antrian panjang di loket pelayanan. Tiba-tiba seorang warga marah karena merasa pelayanan terlalu lambat. Yang Anda lakukan ...,Membalas dengan nada tinggi agar warga tersebut tenang,Mengabaikan kemarahannya dan terus melayani antrian,"Mendengarkan keluhannya dengan sabar, meminta maaf atas ketidaknyamanan, dan menjelaskan prosedur yang sedang berjalan",Meminta satpam untuk mengamankan warga tersebut,Meninggalkan loket sejenak untuk menenangkan diri,1,2,5,3,4,Mendengarkan dengan sabar dan memberikan penjelasan adalah respons pelayanan publik terbaik. Emosi negatif dari masyarakat harus direspons dengan profesionalisme.
68,TKP,"Kantor Anda baru saja meluncurkan sistem layanan online, tetapi banyak warga yang masih belum paham cara menggunakannya. Anda akan ...",Tetap menjalankan sistem online tanpa memberikan panduan tambahan,Kembali ke sistem manual agar tidak membingungkan warga,Membuat panduan sederhana dan menyediakan petugas pendamping untuk membantu warga yang kesulitan,Menyarankan warga untuk belajar sendiri melalui internet,Hanya membantu warga yang bertanya secara langsung,2,1,5,3,4,Inovasi pelayanan harus diimbangi dengan edukasi publik. Membuat panduan dan menyediakan pendamping menunjukkan komitmen pelayanan yang inklusif.
69,TKP,Seorang warga datang ke kantor Anda di luar jam pelayanan meminta bantuan untuk urusan yang sangat mendesak. Sikap Anda ...,Menolak karena sudah di luar jam kerja,Membantu seadanya sambil menjelaskan jam operasional,"Mendengarkan permasalahannya dan membantu semaksimal mungkin, serta menginformasikan jam layanan untuk tindak lanjut",Menyuruhnya datang besok pagi,Merujuk ke kantor lain yang mungkin masih buka,3,4,5,1,2,ASN yang berorientasi pelayanan menunjukkan empati bahkan di luar jam kerja. Mendengarkan dan membantu semaksimal mungkin adalah sikap terbaik.
70,TKP,Anda mendapati prosedur pelayanan di kantor cukup berbelit-belit sehingga menyulitkan masyarakat. Langkah yang Anda ambil ...,Membiarkan saja karena aturan sudah ditetapkan,Mengeluh kepada rekan kerja tanpa mengambil tindakan,Mengusulkan penyederhanaan prosedur kepada atasan dengan data dan alasan yang jelas,Langsung mengubah prosedur tanpa izin atasan,Menyarankan warga untuk menggunakan calo agar prosesnya lebih mudah,2,1,5,3,4,Mengusulkan perbaikan melalui jalur resmi dengan argumentasi berbasis data menunjukkan inisiatif dan profesionalisme dalam meningkatkan kualitas pelayanan publik.
