number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
20,TWK,Kesesuaian antara ucapan dan perbuatan adalah indikator utama seseorang memiliki integritas. Contoh paling relevan dari perilaku ini bagi seorang pemimpin di instansi pemerintahan adalah...,"Membuat aturan dilarang menerima bingkisan, lalu ia secara konsisten mengembalikan setiap parsel lebaran yang dikirimkan ke rumahnya","Berpidato tentang pentingnya hidup sederhana, namun datang ke kantor menggunakan mobil sport mewah keluaran terbaru","Menyuruh bawahan untuk datang tepat waktu, sementara dirinya sering datang terlambat dengan alasan rapat di luar","Menerapkan sistem meritokrasi, namun memberikan posisi strategis kepada keponakannya yang baru lulus kuliah","Mewajibkan pegawai untuk berhemat listrik, namun membiarkan AC di ruangannya menyala 24 jam penuh",5,0,0,0,0,Integritas adalah *walk the talk* (menjalankan apa yang diucapkan). Pemimpin yang melarang gratifikasi harus menjadi teladan pertama yang mempraktikkan pengembalian gratifikasi tersebut.,Integritas
21,TWK,"Bela negara bukan hanya mengangkat senjata (militer), tetapi juga ancaman nirmiliter di era digital. Seorang ASN bagian humas mendapati situs web pemerintah diretas dan diisi dengan konten judi *online*. Tindakan bela negara yang tepat adalah...",Menyebarkan tautan situs yang diretas tersebut ke grup WhatsApp agar semua orang tahu,Membiarkan saja karena itu adalah tanggung jawab penuh kementerian komunikasi dan informatika,"Berkoordinasi cepat dengan tim IT untuk *take down* (menurunkan) konten tersebut, memulihkan keamanan sistem, dan memberikan rilis klarifikasi kepada publik agar tidak terjadi kepanikan",Mencari *hacker* tersebut secara mandiri dan menantangnya berduel di dunia maya,Menutup total pelayanan publik di instansi tersebut sampai batas waktu yang tidak ditentukan,0,0,5,0,0,"Bela negara dari ancaman siber (cyber threat) dilakukan sesuai porsi/profesi. Staf humas harus memastikan keamanan informasi institusi terjaga, sistem segera diperbaiki oleh ahlinya (IT), dan publik ditenangkan dengan klarifikasi resmi.",Bela Negara
22,TWK,"Seorang guru honorer mengajar di pelosok Papua dengan fasilitas yang sangat terbatas. Ia harus berjalan kaki berkilo-kilometer setiap hari, namun ia pantang menyerah untuk mendidik anak-anak di sana agar bisa membaca dan menulis. Dalam konsepsi ketahanan nasional, sikap guru tersebut merupakan bentuk...",Keterpaksaan karena tidak lulus ujian calon pegawai negeri sipil di kota,Pencarian sensasi agar diundang ke stasiun televisi nasional,Bela negara melalui pengabdian sesuai profesi untuk memajukan kecerdasan bangsa di wilayah perbatasan,Hukuman dari pemerintah karena melakukan pelanggaran disiplin di masa lalu,Tugas wajib militer yang disamarkan dalam bentuk pendidikan,0,0,5,0,0,"Sesuai UU No. 3 Tahun 2002, bela negara warga sipil salah satunya diwujudkan melalui 'pengabdian sesuai dengan profesi'. Profesi guru di wilayah terpencil adalah garda terdepan penjaga kualitas SDM nasional.",Bela Negara
23,TWK,Ancaman terhadap kedaulatan negara saat ini juga mencakup perang ekonomi. Membanjirnya produk tekstil impor ilegal yang dijual dengan harga sangat murah menghancurkan pabrik garmen lokal. Sikap bela negara yang bisa dilakukan masyarakat umum untuk mengatasi hal ini adalah...,Melakukan aksi penjarahan terhadap toko-toko yang menjual pakaian impor,Menuntut pemerintah untuk keluar dari organisasi perdagangan dunia (WTO),Memiliki kesadaran kolektif untuk membeli dan mempromosikan produk tekstil buatan dalam negeri meskipun harganya sedikit lebih mahal,Menyelundupkan barang serupa dari luar negeri agar bisa ikut bersaing mencari keuntungan,Menggunakan pakaian adat setiap hari sebagai pengganti pakaian modern,0,0,5,0,0,"Membela negara dalam sektor ekonomi dapat dilakukan dengan gerakan cinta produk dalam negeri (afirmasi P3DN). Dengan membeli produk lokal, masyarakat membantu industri dalam negeri bertahan dari gempuran barang impor.",Bela Negara
24,TWK,Penyebaran hoaks atau berita bohong di media sosial sering digunakan sebagai alat untuk mengadu domba suku dan agama menjelang pemilihan umum. Tindakan nyata bela negara dari seorang pemuda dalam menghadapi ancaman disinformasi ini adalah...,Memblokir semua media sosial agar tidak perlu membaca berita apa pun,"Sikap kritis dengan melakukan saring sebelum *sharing* (memverifikasi kebenaran informasi), serta aktif melaporkan akun penyebar provokasi SARA",Membalas hoaks tersebut dengan membuat hoaks baru yang menyerang balik pembuatnya,Ikut menyebarkan berita tersebut hanya di kalangan keluarga terdekat saja sebagai bahan obrolan,Mempercayai semua berita yang memiliki banyak tanda *like* dan *share* di platform digital,0,5,0,0,0,Pertahanan nirmiliter di ruang digital. Saring sebelum *sharing* dan literasi digital adalah tameng utama warga negara untuk menjaga stabilitas sosial dan mencegah disintegrasi bangsa akibat hoaks SARA.,Bela Negara
25,TWK,"Pasal 27 ayat (3) UUD 1945 menyebutkan bahwa setiap warga negara berhak dan wajib ikut serta dalam upaya pembelaan negara. Bagi seorang mahasiswa, pengejawantahan kewajiban tersebut yang paling relevan saat ini adalah...",Meninggalkan bangku kuliah untuk bergabung secara sukarela dengan tentara di wilayah konflik timur tengah,"Belajar dengan sungguh-sungguh, berinovasi menciptakan teknologi tepat guna, dan menorehkan prestasi di tingkat internasional untuk mengharumkan nama bangsa",Memaksa universitas untuk mengadakan latihan militer menembak setiap akhir pekan,Sering mengikuti demonstrasi anarkis untuk menunjukkan kepedulian politik,Menghabiskan waktu untuk bermain *game* perang di komputer agar mahir strategi militer,0,5,0,0,0,"Bagi pelajar/mahasiswa, wujud bela negara utama bukanlah mengangkat senjata, melainkan menjadi agen perubahan intelektual yang belajar giat, menjauhi narkoba, dan berprestasi agar bangsa Indonesia maju dan disegani dunia.",Bela Negara
26,TWK,"Kerusakan lingkungan, seperti pembalakan liar dan pembakaran hutan, merupakan ancaman ekologi yang dapat melemahkan ketahanan nasional di bidang ekonomi dan kesehatan. Perwujudan bela negara masyarakat dalam menjaga kelestarian ekologi adalah...",Membantu perusahaan besar membuka lahan dengan cara dibakar karena biayanya lebih murah,Diam saja jika melihat oknum membuang limbah berbahaya ke sungai karena tidak ingin mencari musuh,"Aktif menanam pohon di lingkungan sekitar, mengelola sampah dengan baik, dan berani melaporkan aktivitas perusakan lingkungan kepada aparat penegak hukum",Membangun rumah di daerah resapan air agar memiliki pemandangan alam yang indah,Mengekspor kayu gelondongan hasil hutan secara ilegal untuk mendapatkan devisa tambahan,0,0,5,0,0,Bela negara ekologis. Menjaga kekayaan alam dan lingkungan hidup adalah upaya mempertahankan ruang hidup bangsa (Sishankamrata aspek kewilayahan). Melaporkan kejahatan lingkungan adalah bentuk partisipasi aktif sipil.,Bela Negara
27,TWK,"Berdasarkan Undang-Undang Nomor 24 Tahun 2009, Bahasa Indonesia wajib digunakan dalam dokumen resmi kenegaraan. Selain itu, fungsi Bahasa Indonesia dalam kehidupan sosial budaya masyarakat yang heterogen adalah sebagai...",Bahasa pengantar untuk menggantikan seluruh bahasa daerah secara permanen,Alat pemersatu berbagai suku bangsa yang memiliki latar belakang bahasa daerah yang berbeda-beda agar dapat berkomunikasi secara nasional,Alat untuk menunjukkan kelas sosial masyarakat terpelajar di perkotaan,Bahasa yang hanya boleh digunakan oleh pejabat pemerintah dalam rapat formal,Bahasa utama dalam pergaulan diplomasi tingkat dunia menggeser bahasa Inggris,0,5,0,0,0,Fungsi utama Bahasa Indonesia sebagai bahasa persatuan (Sumpah Pemuda) adalah menjadi *lingua franca* (bahasa perantara) yang menjembatani komunikasi antarsuku di seluruh pelosok nusantara tanpa menghilangkan bahasa daerah.,Bahasa Negara
28,TWK,Kalimat di bawah ini yang paling efektif dan terhindar dari pemborosan kata (pleonasme) adalah...,Para bapak-bapak dan ibu-ibu sekalian dipersilakan untuk memasuki ruangan aula sekarang juga.,Banyak masalah-masalah sosial yang harus segera diselesaikan oleh pemerintah daerah bulan ini.,Adapun tujuan daripada penelitian ini adalah untuk mengetahui tingkat kesejahteraan petani lokal.,Pemerintah terus berupaya meningkatkan kualitas pelayanan kesehatan bagi seluruh masyarakat.,Dia berjalan mundur ke belakang ketika melihat anjing liar itu mendekatinya.,0,0,0,5,0,"Opsi D paling efektif. Kesalahan kalimat lain: A (Para + $bapak-bapak = jamak$ berulang), B (Banyak + $masalah-masalah = jamak$ berulang), C (daripada = tidak tepat untuk kepemilikan), E (mundur pasti ke belakang).",Bahasa Negara
29,TWK,Penggunaan kata baku yang benar sesuai dengan pedoman ejaan Bahasa Indonesia terdapat pada kalimat...,Pasien tersebut diharuskan menebus obat resep dokter di apotik terdekat.,Pemerintah menghimbau warga untuk berhati-hati saat memasuki musim penghujan.,"Berdasarkan hasil analisa tim ahli, bangunan tersebut sudah tidak layak huni.",Manajemen perusahaan sedang memperbaiki sistem absensi karyawan agar lebih efisien.,Kakak sedang mempraktekkan resep kue tradisional yang ia pelajari dari internet.,0,0,0,5,0,"Opsi D benar (sistem). Kesalahan opsi lain: A (apotik -> apotek), B (menghimbau -> mengimbau), C (analisa -> analisis), E (mempraktekkan -> mempraktikkan).",Bahasa Negara
30,TWK,"Di sebuah perusahaan rintisan (*startup*), para pekerjanya sangat sering menggunakan bahasa *slang* Inggris (seperti *which is*, *literally*, *basically*) dalam percakapan sehari-hari maupun rapat resmi. Dampak negatif dari kebiasaan ini terhadap kedudukan Bahasa Indonesia adalah...",Membuat Bahasa Indonesia menjadi bahasa yang modern dan setara dengan bahasa Eropa,"Mengikis kebanggaan dan rasa percaya diri terhadap Bahasa Indonesia, serta mengaburkan identitas nasional bangsa",Mempermudah komunikasi jika suatu saat perusahaan tersebut dibeli oleh investor asing,Menunjukkan bahwa pekerja tersebut memiliki tingkat pendidikan internasional yang tinggi,Tidak ada dampak negatif karena bahasa adalah alat komunikasi yang selalu dinamis,0,5,0,0,0,Fenomena campur kode (keminggris) di ranah formal/sosial mengikis *self-esteem* (kebanggaan) terhadap bahasa nasional. Hal ini dapat menurunkan martabat bahasa Indonesia yang diikrarkan sebagai identitas pemersatu bangsa.,Bahasa Negara
31,TIU,SUTRADARA : FILM : DITONTON = ... : ... : ...,Penyanyi : Lagu : Kaset,Penulis : Buku : Dibaca,Pelukis : Kuas : Dipajang,Koki : Dapur : Dimakan,Arsitek : Gedung : Disewakan,0,5,0,0,0,"Analogi Fungsi dan Proses. Sutradara adalah pembuat karya berupa Film, yang fungsi akhirnya adalah Ditonton. Penulis adalah pembuat karya berupa Buku, yang fungsi akhirnya adalah Dibaca.",Analogi
32,TIU,ABRASI : HEMPASAN OMBAK = ... : ...,Erosi : Reboisasi,Korasi : Tiupan Angin,Vulkanik : Letusan,Gempa : Tsunami,Longsor : Pohon,0,5,0,0,0,Analogi Sebab Akibat (Geografi). Abrasi adalah pengikisan yang disebabkan oleh Hempasan Ombak. Korasi adalah pengikisan batuan yang disebabkan oleh Tiupan Angin.,Analogi
33,TIU,DIAGNOSIS : DOKTER = ... : ...,Vonis : Hakim,Skripsi : Dosen,Buku : Penerbit,Resep : Apoteker,Sidang : Pengacara,5,0,0,0,0,Analogi Produk Profesi. Diagnosis adalah keputusan akhir dari proses pemeriksaan yang dikeluarkan oleh seorang Dokter. Vonis adalah keputusan akhir dari proses persidangan yang dikeluarkan oleh seorang Hakim.,Analogi
