number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
11,TWK,"Amandemen UUD 1945 membentuk lembaga Mahkamah Konstitusi (MK) dengan kewenangan yang sangat strategis. Dari kasus-kasus berikut, manakah yang merupakan kewenangan absolut MK sebagai pilar penjaga konstitusi negara?",Menjatuhkan vonis pidana korupsi terhadap menteri kabinet yang masih aktif menjabat,Memutuskan perselisihan hasil pemilihan kepala desa di suatu kabupaten,Menguji materi Peraturan Pemerintah (PP) terhadap Undang-Undang (UU),Memutus sengketa kewenangan antar lembaga negara yang kewenangannya diberikan oleh UUD,Membatalkan pengangkatan Kapolri yang dilakukan secara sepihak oleh Presiden,0,0,0,5,0,"Sesuai Pasal 24C UUD 1945, kewenangan MK: 1) Menguji UU terhadap UUD, 2) Memutus sengketa lembaga negara (kewenangan dari UUD), 3) Memutus pembubaran Parpol, 4) Memutus perselisihan hasil Pemilu.",Pilar Negara
12,TWK,"Seorang panitia lelang pengadaan barang dan jasa instansi pemerintah mendapati bahwa adik iparnya ikut serta dalam tender tersebut. Adiknya memiliki perusahaan yang kredibel dan menawarkan harga paling rendah. Untuk menjaga nilai integritas (menghindari Conflict of Interest), tindakan panitia tersebut adalah...",Membantu adiknya memenangkan tender karena hal tersebut akan menghemat anggaran negara secara signifikan,Mendiskualifikasi perusahaan adiknya secara sepihak untuk menghindari fitnah dari rekan kerja,Mendeklarasikan potensi benturan kepentingan tersebut secara resmi kepada atasan dan mengundurkan diri dari tim evaluasi khusus untuk paket lelang tersebut,Tetap mengevaluasi secara profesional dan merahasiakan status hubungan keluarga agar proses terlihat normal,Meminta adiknya menggunakan nama perusahaan lain (*pinjam bendera*) agar tidak terlacak oleh sistem,0,0,5,0,0,"Integritas mensyaratkan transparansi. Dalam situasi Benturan Kepentingan (*Conflict of Interest*), ASN wajib mendeklarasikan kondisinya (*declare*) dan menarik diri dari pengambilan keputusan (*recuse*) untuk menjaga objektivitas institusi.",Integritas
13,TWK,Anda adalah staf pelaksana yang menemukan bahwa atasan Anda secara sistematis membuat kuitansi fiktif perjalanan dinas untuk membiayai kegiatan operasional kantor yang tidak didanai oleh DIPA. Secara moral atasan merasa itu bukan korupsi karena tidak masuk ke kantong pribadi. Sikap berintegritas Anda adalah...,Memaklumi tindakan tersebut karena tujuannya baik untuk kelancaran operasional kantor,Melaporkan tindakan tersebut ke sistem pelaporan pelanggaran (whistleblowing system) dengan menyertakan bukti audit forensik yang memadai,Mengancam atasan untuk membagikan sebagian dana tersebut sebagai uang tutup mulut,Meniru tindakan tersebut untuk membiayai kegiatan divisi Anda sendiri,Mengundurkan diri dari instansi tanpa memberikan penjelasan apapun,0,5,0,0,0,"Integritas berpedoman pada aturan/hukum, bukan niat (*ends justify the means*). Manipulasi dokumen keuangan adalah *fraud* (pidana). ASN wajib melaporkannya melalui kanal resmi (WBS) agar diselesaikan secara sistemik.",Integritas
14,TWK,"Integritas merupakan kesatuan antara pikiran, perkataan, dan perbuatan yang sejalan dengan norma. Seringkali PNS mengalami dilema antara loyalitas pada atasan dan kepatuhan pada aturan. Tindakan manakah yang merepresentasikan esensi loyalitas yang berintegritas?",Menjalankan seluruh instruksi lisan atasan tanpa berani mempertanyakan keabsahannya,Menolak melaksanakan perintah atasan yang bertentangan dengan hukum dan menyampaikan alasan penolakan dengan data normatif secara sopan,"Mematuhi instruksi yang melanggar hukum, lalu mengumpulkan buktinya untuk melaporkan atasan di kemudian hari",Bekerja keras melampaui jam kerja setiap hari untuk menutupi kesalahan manajemen atasan,Menyebarkan kebijakan atasan yang keliru ke media sosial agar publik yang menghakiminya,0,5,0,0,0,"Loyalitas birokrasi tidak bersifat buta. Sesuai Core Values ASN, pegawai berhak menolak perintah atasan jika bertentangan dengan hukum pidana/kode etik, dengan cara penyampaian yang tetap profesional dan berbasis aturan.",Integritas
15,TWK,"Dalam seleksi CPNS, seorang peserta dihubungi oleh oknum yang menjanjikan kelulusan dengan imbalan sejumlah uang (gratifikasi). Peserta tersebut menolak dan berhasil lulus secara murni. Jika kelak peserta tersebut menjadi pejabat pembuat kebijakan, nilai integritas awal ini paling berdampak pada...",Terbebasnya pejabat tersebut dari kewajiban melaporkan harta kekayaan (LHKPN),Keberanian dalam mengambil kebijakan publik yang objektif karena tidak tersandera oleh hutang budi kepada pihak manapun,Kecenderungan untuk membalas dendam kepada oknum yang pernah menawarkan suap di masa lalu,Kemampuan pejabat tersebut memperkaya diri dengan cara yang lebih halus dan legal,Kebal terhadap segala bentuk jeratan hukum korupsi di masa jabatannya,0,5,0,0,0,"Menolak suap sejak awal karir (*zero tolerance*) menciptakan pejabat yang merdeka dan independen. Ia tidak tersandera 'politik balas budi', sehingga mampu menghasilkan kebijakan murni demi kepentingan publik.",Integritas
16,TWK,Anda bekerja sebagai verifikator data penerima bansos. Seorang aparat desa setempat memberikan hadiah berupa bingkisan sembako mahal ke rumah Anda sambil menyelipkan pesan agar beberapa nama kerabatnya dimasukkan ke daftar penerima bansos meskipun tidak layak. Sikap integritas Anda...,"Menerima bingkisan tersebut untuk menghargai tamu, namun tetap menolak memasukkan nama kerabatnya","Mengembalikan bingkisan tersebut dengan tegas, menolak permintaannya, dan melaporkan upaya gratifikasi tersebut kepada Unit Pengendalian Gratifikasi (UPG) instansi",Menerima bingkisan tersebut lalu membagikannya ke panti asuhan agar menjadi amal jariyah,Memasukkan nama kerabatnya ke daftar cadangan sebagai bentuk kompromi jalan tengah,Memarahi aparat desa tersebut dan mempermalukannya di depan warga balai desa,0,5,0,0,0,"Integritas menuntut penolakan terhadap suap/gratifikasi. Sesuai UU Tipikor, pengembalian langsung dan pelaporan ke UPG/KPK adalah prosedur wajib untuk membebaskan ASN dari jerat hukum pidana gratifikasi.",Integritas
17,TWK,"Di era *Work From Anywhere* (WFA), pengawasan fisik menjadi berkurang. Seorang pegawai menggunakan jam kerja WFA-nya secara penuh untuk mengelola bisnis *online shop* pribadinya yang sangat menguntungkan, sementara pekerjaan kantornya dikerjakan dengan kualitas asal-asalan. Pegawai ini telah mencederai nilai integritas yaitu...",Kedisiplinan dan tanggung jawab publik,Keadilan dan transparansi,Keberanian dan kesederhanaan,Kepedulian dan kerja keras,Kemandirian dan inovasi,5,0,0,0,0,Korupsi waktu adalah pelanggaran integritas. ASN digaji dari uang pajak rakyat (tanggung jawab publik). Mengabaikan kualitas layanan demi keuntungan bisnis pribadi melanggar nilai dasar integritas: Disiplin dan Tanggung Jawab.,Integritas
18,TWK,"Perang Asimetris (*Asymmetric Warfare*) tidak menggunakan senjata militer secara langsung, melainkan mengeksploitasi aspek ideologi dan informasi. Salah satu bentuk ancaman non-militer ini yang paling membahayakan persatuan bangsa di ruang digital adalah...",Meningkatnya tren belanja online produk luar negeri melalui aplikasi gawai,Penyebaran hoaks secara sistematis dan masif (firehose of falsehood) yang mengeksploitasi polarisasi identitas (SARA) untuk menciptakan ketidakpercayaan publik kepada negara,"Banyaknya konten hiburan asing (*K-Pop, Hollywood*) yang mendominasi tren tontonan generasi muda",Serangan virus *ransomware* yang mengunci data pribadi masyarakat secara acak,Penggunaan *crypto-currency* (mata uang kripto) untuk transaksi ilegal antar warga sipil,0,5,0,0,0,Perang asimetris modern bertujuan menghancurkan kohesi sosial dan *trust* warga ke negaranya. Eksploitasi SARA via hoaks masif adalah senjata psikologis yang dapat memicu perang sipil/disintegrasi tanpa letusan peluru.,Bela Negara
19,TWK,"Konsep Sistem Pertahanan dan Keamanan Rakyat Semesta (Sishankamrata) menetapkan TNI/Polri sebagai komponen utama. Dalam payung hukum UU No. 3 Tahun 2002 tentang Pertahanan Negara, posisi rakyat sipil dan ASN diaktualisasikan dalam bentuk...",Membentuk milisi bersenjata independen di setiap provinsi rawan konflik,"Menjadi komponen cadangan dan komponen pendukung yang dipersiapkan melalui pendidikan kewarganegaraan, pelatihan dasar militer sukarela, serta pengabdian sesuai profesi",Mengambil alih tugas kepolisian dalam memberantas tindak kejahatan terorisme di pemukiman warga,Menyerahkan seluruh tanggung jawab pertahanan mutlak hanya kepada instansi militer tanpa perlu campur tangan sipil,Diwajibkan mengikuti pelatihan paramiliter setiap akhir pekan bagi pemuda usia produktif,0,5,0,0,0,"Sesuai Pasal 9 UU No. $3/2002$, bela negara warga sipil diwujudkan melalui: 1) Pendidikan kewarganegaraan, 2) Pelatihan dasar kemiliteran (wajib/sukarela), 3) Pengabdian prajurit sukarela, 4) Pengabdian sesuai profesi.",Bela Negara
20,TWK,Seorang dokter ASN spesialis ditugaskan oleh kementerian untuk mengabdi di daerah perbatasan pulau terluar (3T). Daerah tersebut minim fasilitas dan jauh dari peradaban kota. Dokter tersebut menerima penugasan dengan ikhlas demi pemerataan layanan kesehatan. Sikap dokter tersebut secara konstitusional merupakan wujud dari...,Implementasi bela negara melalui pengabdian profesi secara maksimal demi menjaga ketahanan sosial-kesehatan nasional,Keterpaksaan birokrasi agar terhindar dari sanksi pemecatan sebagai ASN,Ajang untuk mencari popularitas agar kelak mudah terpilih menjadi kepala daerah di wilayah tersebut,Kewajiban paramiliter yang diemban oleh seluruh tenaga medis di masa damai,Ketidakmampuan bersaing dengan dokter spesialis lain di kota-kota besar,5,0,0,0,0,"Bela negara nirmiliter tidak angkat senjata. Bagi profesional (guru, dokter, ASN), melaksanakan tugas krusial negara di wilayah 3T dengan ikhlas adalah manifestasi murni dari Bela Negara melalui 'pengabdian sesuai profesi'.",Bela Negara
21,TWK,Ancaman kedaulatan di zona perbatasan maritim (seperti Laut Natuna Utara) sering kali berwujud masuknya kapal ikan asing yang dikawal oleh *Coast Guard* negara asalnya. Langkah strategis dan bela negara pemerintah Indonesia yang bersifat _deterrence_ (penangkalan) secara holistik adalah...,Memutus hubungan diplomatik seketika dan menyatakan deklarasi perang terbuka kepada negara pelanggar,Menarik seluruh nelayan lokal dari laut tersebut agar tidak memicu gesekan bersenjata dengan kapal asing,"Memperkuat diplomasi hukum laut (UNCLOS), meningkatkan patroli Bakamla/TNI AL, serta memfasilitasi nelayan sipil Indonesia untuk memenuhi kuota tangkapan ekonomi di zona tersebut",Meminta blok militer asing (seperti NATO) untuk menempatkan pangkalan angkatan lautnya di kepulauan Natuna,Memasang ranjau laut di sepanjang batas Zona Ekonomi Eksklusif (ZEE) Indonesia secara sepihak,0,0,5,0,0,"Menghadapi sengketa *grey area* (ZEE), negara merespons dengan holistik: ketegasan militer/patroli (*Bakamla/TNI*), diplomasi internasional (*UNCLOS*), dan *effective occupation* (nelayan sipil mengelola SDA sebagai komponen pendukung ketahanan).",Bela Negara
22,TWK,Maraknya investasi dari lembaga donor (LSM internasional) di suatu daerah kadang diiringi dengan agenda sisipan (*hidden agenda*) yang mendanai kelompok-kelompok separatis lokal secara rahasia (Proxy War). Kewaspadaan nasional (Bela Negara) ASN daerah dalam hal ini adalah...,Menolak seluruh bentuk bantuan hibah atau dana asing dari negara manapun untuk menutup celah campur tangan asing,"Melakukan _screening_ ketat administrasi, mengawasi transparansi aliran dana asing, dan bersinergi dengan aparat intelijen daerah (Kesbangpol) untuk deteksi dini",Membiarkan hal tersebut berlanjut karena LSM internasional berkontribusi besar bagi perekonomian lokal,Melakukan penangkapan langsung terhadap aktivis LSM internasional tersebut dan mendeportasinya secara sepihak,Membentuk pasukan paramiliter sipil untuk menyerbu kantor LSM yang dicurigai sebagai agen intelijen asing,0,5,0,0,0,"Mitigasi *Proxy War* (perang proksi) oleh aparat sipil dilakukan secara prosedural: pengetatan administrasi/audit transparansi dana, dan sinergi fungsi intelijen deteksi dini (Kesbangpol), tanpa aksi main hakim sendiri.",Bela Negara
23,TWK,"Di era pasca-kebenaran (*post-truth*), batas antara fakta dan opini sering kabur. Generasi muda (Gen Z) berpotensi kehilangan jati diri kebangsaan akibat algoritma media sosial yang mendominasi cara pandang mereka. Kontribusi pemuda dalam bela negara digital yang paling konkret adalah...",Melakukan peretasan massal terhadap server media sosial global untuk mengubah algoritmanya secara paksa,"Menggunakan media sosial secara aktif untuk memproduksi konten tandingan (counter-narrative) yang edukatif, berkarakter lokal, dan berbasis fakta untuk membongkar hoaks",Menghentikan penggunaan seluruh platform media sosial dan beralih ke forum diskusi tertutup secara luring,Menuntut pemerintah membuat aplikasi media sosial buatan dalam negeri dan memblokir aplikasi asing,Menyebarkan identitas pribadi (doxing) pembuat konten hoaks agar mereka dihakimi oleh massa internet,0,5,0,0,0,"Bela negara digital bagi kaum muda adalah dengan menjadi produsen konten positif (*counter-narrative*). Melawan disinformasi harus dengan narasi fakta yang kreatif, bukan peretasan atau *doxing* yang melanggar hukum pidana (UU ITE).",Bela Negara
24,TWK,"Penggunaan Bahasa Indonesia sebagai bahasa persatuan diikrarkan dalam Sumpah Pemuda. Namun, di ruang publik masa kini, banyak instansi pemerintah maupun swasta yang lebih bangga menggunakan istilah bahasa Inggris (misalnya *Rest Area, Busway, City Park*). Dari perspektif konstitusi, fenomena ini menunjukkan...",Kegagalan pemerintah menyesuaikan bahasa Indonesia dengan era globalisasi internasional,"Pelanggaran terhadap UU No. 24 Tahun 2009 yang mewajibkan penggunaan bahasa Indonesia pada nama gedung, jalan, dan fasilitas publik",Kemajuan peradaban masyarakat Indonesia yang sudah setara dengan masyarakat global berbahasa Inggris,Upaya untuk menarik minat turis mancanegara agar investasi asing meningkat tajam di Indonesia,Kebebasan berekspresi secara kultural yang dijamin sepenuhnya oleh instrumen hak asasi manusia,0,5,0,0,0,"UU No. 24 Tahun 2009 tentang Bendera, Bahasa, dan Lambang Negara secara eksplisit mewajibkan penggunaan Bahasa Indonesia untuk nama geografis, nama bangunan/gedung, jalan, apartemen/permukiman, kompleks, jalan, dsb. yang didirikan/dimiliki WNI.",Bahasa Negara
25,TWK,"Perhatikan kalimat dinas berikut: 'Kepada Bapak Gubernur, waktu dan tempat kami persilakan.' Kesalahan kelogisan berbahasa pada kalimat tersebut yang sering diabaikan oleh aparatur birokrasi adalah...",Kata 'kami' seharusnya diganti dengan kata 'saya' agar lebih personal,Penggunaan sapaan 'Bapak Gubernur' berlebihan dan seharusnya cukup nama saja,"Yang dipersilakan untuk memberikan sambutan adalah 'waktu dan tempat', bukan sosok subjek (Gubernur) yang bersangkutan",Kurangnya kata pengantar seperti 'dengan hormat' pada awal kalimat tersebut,Tidak menggunakan tanda seru (!) di akhir kalimat perintah,0,0,5,0,0,"Kalimat tersebut tidak logis secara sintaksis. Waktu dan tempat adalah benda mati yang tidak bisa 'dipersilakan' melakukan sambutan. Kalimat efektifnya: 'Bapak Gubernur, kami persilakan.' atau 'Kepada Bapak Gubernur, kami persilakan.'",Bahasa Negara
26,TWK,Pemilihan kata (diksi) baku menurut Kamus Besar Bahasa Indonesia (KBBI) sangat penting dalam penyusunan produk hukum. Kalimat di bawah ini yang seluruh ejaan dan bentuk katanya baku adalah...,Menteri Pendidikan akan mensahkan kurikulum baru pada bulan Pebruari mendatang.,Sistim birokrasi yang kompleks beresiko menurunkan tingkat produktivitas pegawai.,Pemerintah daerah mengimbau masyarakat untuk mewaspadai cuaca ekstrem selama masa transisi musim.,Para elit politik dihimbau untuk tidak melakukan praktik manipulasi data pada pemilihan umum.,Proses legalisir ijasah harus dilakukan langsung di kampus asal mahasiswa lulusan tersebut.,0,0,5,0,0,"Opsi C baku (mengimbau, ekstrem). Opsi A salah: mensahkan (mengesahkan), Pebruari (Februari). Opsi B salah: Sistim (Sistem), beresiko (berisiko). Opsi D salah: elit (elite), dihimbau (diimbau). Opsi E salah: legalisir (legalisasi), ijasah (ijazah).",Bahasa Negara
27,TWK,"Penggunaan tanda koma (,) sering kali salah penempatan dalam kalimat majemuk bertingkat. Kalimat manakah yang penempatan tanda komanya sesuai dengan Pedoman Umum Ejaan Bahasa Indonesia (PUEBI)?",Karena tidak memiliki dasar hukum yang kuat kebijakan tersebut dibatalkan oleh Mahkamah Agung.,"Pemerintah pusat akan segera mencairkan dana alokasi khusus, apabila seluruh laporan pertanggungjawaban daerah telah diverifikasi.","Meskipun mendapat banyak kritik dari aktivis lingkungan, proyek reklamasi tersebut, tetap dilanjutkan oleh pemerintah provinsi.","Apabila terjadi bencana alam berskala nasional, presiden memiliki wewenang penuh untuk menetapkan status keadaan darurat.","Rapat paripurna ditunda pembahasannya, karena jumlah anggota dewan yang hadir tidak memenuhi syarat kuorum.",0,0,0,5,0,"Aturan PUEBI: Jika anak kalimat (Apabila...) mendahului induk kalimat (...presiden memiliki wewenang), gunakan tanda koma. Jika induk kalimat mendahului anak kalimat (seperti Opsi B dan E), tanda koma TIDAK digunakan.",Bahasa Negara
28,TWK,"Dalam pidato kenegaraan, seorang pemimpin menyisipkan banyak kata serapan dari bahasa asing meskipun padanan kata dalam bahasa Indonesianya sudah tersedia dan populer. Dampak negatif utama dari kebiasaan ini terhadap eksistensi Bahasa Negara adalah...",Memperkaya kosa kata masyarakat agar lebih siap menghadapi persaingan Masyarakat Ekonomi ASEAN (MEA),Melemahkan martabat bahasa Indonesia sebagai identitas bangsa dan memicu sikap inferior terhadap kebudayaan asing,Meningkatkan minat generasi muda untuk mempelajari etimologi bahasa-bahasa Eropa,Membantu mempercepat adopsi teknologi karena istilah teknis lebih mudah diucapkan dalam bahasa aslinya,Menyebabkan terputusnya hubungan diplomasi bilateral dengan negara asing yang bahasanya tidak digunakan,0,5,0,0,0,Bahasa adalah identitas dan kebanggaan nasional (Sumpah Pemuda). Menggunakan bahasa asing secara berlebihan untuk hal yang ada padanannya (*keminggris*) merusak kebanggaan/martabat bahasa nasional dan menumbuhkan mentalitas inferior.,Nasionalisme
