number,segment,sub_category,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
11,TWK,Bela Negara,,Melakukan diplomasi publik dengan memberikan data faktual komprehensif terkait langkah progresif pemerintah Indonesia melalui rilis resmi atau diskusi terbuka,Membalas dengan artikel agresif yang menyerang balik pelanggaran HAM di negara asal media tersebut,Meminta pemerintah pusat untuk memutus hubungan diplomatik dengan negara tempat media itu beroperasi,Menggalang demonstrasi WNI di luar negeri di depan kantor redaksi media tersebut,Diam dan mengabaikan opini tersebut karena merasa media asing tidak memiliki yurisdiksi,5,0,0,0,0,"Diplomat adalah ujung tombak negara. Bela negara di ranah diplomasi dilakukan secara intelektual, taktis, dan proporsional (memberikan data faktual dan hak jawab resmi) untuk menjaga citra positif NKRI tanpa memicu konflik irasional.",,,,,,
12,TWK,Pilar Negara,,Anggota dewan yang hadir sudah mencapai kuorum namun menolak untuk berdiskusi lebih lanjut,Dilakukan sejak awal rapat untuk menghemat waktu dan biaya operasional dewan,Kelompok mayoritas merasa memiliki hak absolut untuk memaksakan kehendak,Pimpinan sidang merasa pendapatnya tidak disetujui oleh kelompok minoritas,Keputusan harus segera diambil dan seluruh upaya musyawarah secara sungguh-sungguh telah gagal mencapai mufakat,0,0,0,0,5,"Dalam demokrasi Pancasila, *voting* (pemungutan suara terbanyak) adalah jalan terakhir (ultimum remedium) yang hanya sah jika musyawarah mufakat yang tulus dan mendalam menemui jalan buntu, sementara keputusan menyangkut hajat hidup orang banyak harus segera diambil.",,,,,,
13,TWK,Bahasa Negara,,Proyek itu membutuhkan tekhnologi canggih dan metode pelaksanaan yang terstruktur.,Tim SAR sedang menganalisa resiko evakuasi korban di area vulkanis tersebut.,Diagnosa dokter menyebutkan bahwa pasien membutuhkan sistem perawatan intensif.,Manajemen perusahaan sedang menyiapkan jadual interview untuk calon karyawan baru.,Praktik manipulasi data tersebut dilakukan secara sistematis oleh sebuah sindikat.,0,0,0,0,5,"C benar (praktik, sistematis, sindikat). Analisis salah A: 'menganalisa' (seharusnya menganalisis), 'resiko' (risiko). B: 'Diagnosa' (diagnosis). D: 'tekhnologi' (teknologi). E: 'jadual' (jadwal), 'interview' (wawancara/interviu).",,,,,,
14,TWK,Integritas,,"Memberikan rekomendasi objektif kepada pimpinan untuk promosi staf bawahan yang kebetulan memiliki almamater universitas yang sama, berdasarkan matriks kinerja terukur yang terbuka",Mengusulkan perusahaan istri sendiri untuk memenangkan tender pengadaan alat tulis kantor di divisinya,Menggunakan kendaraan dinas operasional untuk kegiatan mudik lebaran keluarga,Menerima hadiah pernikahan dari teman masa kecil yang kebetulan berprofesi sebagai kontraktor di instansi tempatnya bekerja,Menerima honorarium sebagai narasumber dari pihak swasta yang sedang dievaluasi perizinannya oleh instansi ASN tersebut,5,0,0,0,0,"Opsi E bukan benturan kepentingan karena keputusan didasarkan pada 'matriks kinerja terukur yang terbuka' dan objektif. Adanya kesamaan almamater adalah kebetulan, selama prosesnya transparan, berbasis data (*merit system*), dan tidak ada manipulasi nilai.",,,,,,
15,TWK,Bela Negara,,Penyusupan budaya asing melalui konser musik K-Pop atau festival film Barat,"Propaganda sistematis via algoritma media sosial yang mendiskreditkan sejarah bangsa, memecah belah polarisasi agama, dan menanamkan sikap *distrust* terhadap negara",Munculnya gaya hidup konsumtif karena gempuran iklan produk elektronik luar negeri,Dominasi restoran cepat saji multinasional yang menggusur kuliner tradisional lokal,Penggunaan bahasa Inggris gaul (*slang*) yang masif di kalangan *gamers* online,0,5,0,0,0,"Propaganda via algoritma (sosmed) yang bertujuan merusak kohesi sosial, memecah belah, dan menghilangkan kepercayaan (*distrust*) warga terhadap negaranya adalah bentuk *brainwashing* dan invasi asimetris yang paling merusak integritas bangsa dari dalam.",,,,,,
16,TWK,Pilar Negara,,Menyamakan standar Hak Asasi Manusia Indonesia dengan deklarasi universal PBB tanpa modifikasi,Memastikan pemerintah memiliki kendali penuh atas kehidupan warga negara,Mengurangi beban negara dalam memfasilitasi kebebasan berekspresi masyarakat di ruang publik,"Menjamin pengakuan serta penghormatan atas hak dan kebebasan orang lain, serta memenuhi tuntutan keadilan sesuai nilai agama dan ketertiban umum",Mencegah masuknya ideologi asing yang bertentangan dengan Pancasila,0,0,0,5,0,"Pembatasan HAM di Indonesia tidak bertujuan otoritarian, melainkan untuk menjaga keseimbangan antara hak individu dengan hak masyarakat luas (orang lain), ketertiban umum, moral, dan nilai-nilai agama (Pancasila Sila ke-1 dan ke-2).",,,,,,
17,TWK,Bela Negara,,Menutup akses internet dan media sosial asing untuk mencegah cuci otak,Melakukan patroli keamanan lingkungan setiap malam di wilayah masing-masing,Mewajibkan seluruh pemuda mengikuti wajib militer selama dua tahun penuh,Mendeklarasikan permusuhan dengan negara-negara yang dicurigai sebagai dalang proxy war,"Memperkuat literasi sejarah, pemahaman ideologi Pancasila, serta kekritisan dalam menyaring informasi digital",0,0,0,0,5,Perang proksi menyerang *mindset* dan ideologi bangsa (non-militer). Pertahanan terbaik adalah literasi informasi yang kritis dan penguatan karakter/ideologi Pancasila agar pemuda tidak mudah diadu domba atau dicuci otaknya.,,,,,,
18,TWK,Integritas,,Takut ada wartawan yang diam-diam memotret penyerahan parsel tersebut,Mengetahui bahwa pengusaha tersebut sedang dalam incaran aparat penegak hukum,Ingin membangun citra politik yang baik menjelang pemilihan umum kepala daerah berikutnya,Memahami bahwa penerimaan tersebut berpotensi menjadi gratifikasi yang dapat memengaruhi objektivitas kebijakan di masa depan,Menolak karena bingkisan tersebut belum tentu sesuai dengan selera pribadinya,0,0,0,5,0,Integritas ASN/Pejabat Negara menuntut pemahaman bahwa pemberian dari pihak yang memiliki hubungan kerja/konflik kepentingan adalah bentuk gratifikasi (akar suap) yang dapat merusak objektivitas dan melanggar hukum.,,,,,,
19,TWK,Nasionalisme,,Mewajibkan penggunaan pakaian adat tertentu pada hari-hari besar nasional bagi seluruh pegawai,Mengadakan festival budaya lokal tahunan menggunakan anggaran pendapatan dan belanja daerah,Menyusun kebijakan afirmatif untuk melindungi masyarakat adat yang terpinggirkan,Membuat program pelestarian bahasa daerah di sekolah-sekolah setempat,"Memprioritaskan promosi jabatan hanya bagi pegawai yang berasal dari suku yang sama dengan kepala daerah, mengabaikan sistem meritokrasi",0,0,0,0,5,"Etnosentrisme adalah sikap menganggap suku/budayanya lebih unggul. Dalam birokrasi, hal ini berwujud nepotisme berbasis suku (primordialisme), yang merusak keadilan, meritokrasi, dan persatuan nasional.",,,,,,
20,TWK,Pilar Negara,,Sebagai lembaga yang khusus bertugas merevisi undang-undang otonomi daerah tanpa campur tangan DPR,Untuk memastikan presiden terpilih selalu berasal dari tokoh daerah yang populer,Untuk mengambil alih tugas MPR dalam melantik dan memberhentikan Presiden,Agar setiap provinsi memiliki perwakilan yang independen dari partai politik dalam menyuarakan kepentingan daerah di tingkat nasional,Untuk mengawasi secara langsung kinerja menteri-menteri dalam kabinet,0,0,0,5,0,"DPD dibentuk untuk mengakomodasi keterwakilan daerah (*territorial representation*) secara independen (non-partisan/bukan parpol), guna menyeimbangkan DPR yang merupakan representasi politik (*political representation*), sehingga kepentingan daerah lebih tersalurkan.",,,,,,
21,TWK,Bahasa Negara,,(1),(2),(4),(3),(1) dan (4),0,0,5,0,0,"Paragraf tersebut bersifat induktif, di mana kalimat (1), (2), dan (3) adalah premis/fakta penjelas, yang kemudian disimpulkan pada kalimat (4). Kata kunci 'Oleh karena itu' menegaskan kesimpulan utama (gagasan pokok).",,,,,,
22,TWK,Pilar Negara,,Instruksi langsung dari Presiden sebagai kepala negara,Jumlah penduduk dan luas wilayah tanpa memandang sumber daya,Pendapatan asli daerah (PAD) sebagai syarat mutlak otonomi,Kekhususan dan keragaman daerah,Kekuatan politik partai penguasa di daerah tersebut,0,0,0,5,0,Sesuai Pasal 18A ayat (1) UUD 1945: Hubungan wewenang antara pemerintah pusat dan daerah diatur dengan undang-undang dengan memperhatikan kekhususan dan keragaman daerah.,,,,,,
23,TWK,Integritas,,Memastikan pejabat negara tidak memiliki utang sama sekali di bank pemerintah,Mengetahui seberapa besar pajak yang bisa ditarik oleh negara dari pejabat tersebut,"Mewujudkan pemerintahan yang bersih (clean government), transparan, dan akuntabel sesuai dengan prinsip negara hukum demokratis",Memberikan data kepada masyarakat agar bisa meminta sumbangan kepada pejabat yang kaya,Menjadikan standar kekayaan pejabat sebagai acuan kesejahteraan nasional,0,0,5,0,0,"LHKPN adalah manifestasi dari asas keterbukaan dan akuntabilitas. Tujuannya adalah menciptakan pemerintahan yang bersih dan bebas KKN (asas *good governance*), sehingga publik dapat turut mengawasi kewajaran harta pejabat.",,,,,,
24,TWK,Bela Negara,,Menutup perbatasan negara dari segala bentuk investasi dan imigran asing,Menangkap dan memenjarakan semua orang yang pernah membaca literatur ideologi tersebut,"Menanamkan internalisasi nilai-nilai Pancasila melalui pendekatan edukasi, budaya, dan kesejahteraan yang membuat ideologi asing kehilangan daya tariknya",Mewajibkan seluruh warga untuk menghafal butir-butir Pancasila sebagai syarat pembuatan KTP,Membentuk badan sensor tunggal yang menyaring seluruh komunikasi pribadi warga negara,0,0,5,0,0,"Pendekatan represif (A, B) melanggar HAM. Ketahanan ideologi terbaik adalah *soft approach* (internalisasi nilai secara kultural/edukasi) dan *hard approach* berupa keadilan sosial/kesejahteraan, sehingga masyarakat merasa Pancasila lebih baik daripada ideologi asing.",,,,,,
25,TWK,Nasionalisme,,Menerapkan bea masuk 0% untuk semua produk impor agar masyarakat bisa membeli barang murah,Menerima seluruh kebijakan WTO tanpa syarat demi menjaga hubungan baik dengan negara maju,Hanya mengekspor bahan mentah agar harganya murah dan laku keras di pasar internasional,"Menggunakan perundingan diplomasi perdagangan di WTO untuk memperjuangkan keadilan tarif, menghapus diskriminasi produk nasional, dan melindungi industri strategis dalam negeri",Keluar dari WTO karena merugikan industri lokal dalam jangka pendek,0,0,0,5,0,Nasionalisme yang adaptif dalam globalisasi adalah menggunakan forum internasional (seperti WTO) secara strategis (*bargaining power*) untuk membela kepentingan dan komoditas nasional dari praktik monopoli/diskriminasi negara maju.,,,,,,
26,TWK,Pilar Negara,,"Pancasila statis dalam bidang politik, namun sangat dinamis dalam membebaskan sistem ekonomi pasar bebas","Nilai Pancasila statis hanya pada sila pertama, sedangkan sila lainnya boleh diubah sesuai dinamika zaman","Pancasila adalah hukum kaku yang tidak bisa diubah, namun penafsirannya harus mengikuti kehendak penguasa","Pancasila hanya berlaku statis di dalam negeri, namun dinamis ketika digunakan untuk hubungan internasional","Pancasila sebagai dasar negara (*meja statis*) yang menyatukan kemajemukan, sekaligus memiliki nilai fleksibel yang mampu mengarahkan dan menjawab tantangan zaman (*dinamis*)",0,0,0,0,5,"'Meja statis' bermakna fondasi kuat yang menyatukan berbagai elemen bangsa yang majemuk. 'Leitzstar dinamis' bermakna nilai-nilainya visioner, terbuka, dan mampu memandu bangsa dalam menghadapi perubahan dan modernisasi.",,,,,,
27,TWK,Bahasa Negara,,"Ibu membeli berbagai macam buah; apel, mangga, dan pisang.",Oleh karena itu; kita harus saling menghargai.,Malam makin larut; kami belum juga selesai mengerjakan tugas ini.,Ia bukan mahasiswa fakultas hukum; melainkan fakultas ekonomi.,Karena hujan turun sangat lebat; pertandingan sepak bola ditunda.,0,0,5,0,0,Titik koma (;) digunakan sebagai pengganti kata penghubung untuk memisahkan kalimat setara di dalam kalimat majemuk (Opsi A benar). B salah (harus koma). C salah (harus titik dua). D salah (harus koma). E salah (harus koma sebelum melainkan).,,,,,,
28,TWK,Integritas,,Mendeklarasikan potensi konflik kepentingan tersebut kepada ketua panitia dan mengundurkan diri dari proses penilaian khusus untuk berkas adiknya,Tetap menyeleksi berkas adiknya secara objektif karena yakin dirinya tidak akan berbuat curang,Mengubah nilai adiknya menjadi sedikit lebih rendah agar terlihat tidak memihak,Mendiskualifikasi adiknya secara sepihak agar tidak timbul fitnah di kemudian hari,Meminta rekan panitia lain untuk meluluskan adiknya dengan janji akan membalas budi suatu saat nanti,5,0,0,0,0,"Dalam *Conflict of Interest*, sekadar merasa objektif (A) tidak cukup dan melanggar kode etik. Mendiskualifikasi murni (B) merugikan hak adik. Langkah paling berintegritas dan sesuai SOP adalah deklarasi (*declare*) konflik kepentingan dan tidak terlibat (*recuse*) dalam proses penilaian pihak terkait.",,,,,,
29,TWK,Bela Negara,,Mengkampanyekan pemblokiran massal film asing di bioskop,"Memperkuat filter moral individu melalui agama dan keluarga, serta secara kreatif memproduksi konten kebudayaan lokal yang berkualitas dan relevan dengan zaman",Melakukan boikot nasional terhadap seluruh platform *streaming* asing,Menyerang akun media sosial artis asing tersebut dengan komentar negatif menggunakan bahasa daerah,Mewajibkan stasiun TV untuk memutar film dokumenter sejarah 24 jam penuh,0,5,0,0,0,"Bela negara nirmiliter dalam hal budaya adalah dengan memperkuat ketahanan kultural (filter internal) dan memenangkan pertarungan narasi secara kreatif (menciptakan konten lokal yang berdaya saing), bukan sekadar pelarangan buta.",,,,,,
30,TWK,Pilar Negara,,Presiden memiliki hak prerogatif mutlak untuk menetapkan undang-undang tanpa persetujuan DPR,"Menteri-menteri negara diangkat, diberhentikan, dan bertanggung jawab kepada DPR",Presiden memiliki hak untuk membubarkan DPR jika terjadi kebuntuan politik,Presiden dipilih langsung oleh MPR dan bertanggung jawab kepada MPR,"DPR tidak dapat memberhentikan Presiden dalam masa jabatannya, kecuali Presiden terbukti melakukan pelanggaran hukum berat sesuai konstitusi",0,0,0,0,5,"Dalam UUD 1945 pasca amandemen, sistem presidensial diperkuat dengan ketentuan bahwa Presiden/Wapres dipilih langsung oleh rakyat dan tidak dapat dijatuhkan oleh parlemen (DPR) hanya karena alasan politik, melainkan harus melalui proses pemakzulan (impeachment) hukum yang ketat (Pasal 7A).",,,,,,
31,TIU,Kemampuan Verbal,,Sebagian perusahaan asing mengikuti uji publik,Seluruh peserta uji publik adalah perusahaan asing yang lulus seleksi administrasi,Beberapa peserta uji publik yang menyetorkan jaminan adalah perusahaan asing,Tidak ada perusahaan asing yang diwajibkan menyetorkan jaminan pelaksanaan proyek,Semua perusahaan asing harus menyetorkan jaminan pelaksanaan proyek,5,0,0,0,0,Silogisme kategori. Premis 1: Lulus (A) -> Uji Publik (B). Premis 2: Beberapa Asing (C) -> Lulus (A). Kesimpulan 1: Beberapa Asing (C) -> Uji Publik (B) (Opsi B). Premis 3 tidak bisa dikaitkan pasti dengan perusahaan asing karena subjek 'sebagian peserta' tidak ekuivalen mutlak dengan 'perusahaan asing'.,,,,,,
32,TIU,Kemampuan Verbal,,A,F,E,Tidak dapat ditentukan,D,0,5,0,0,0,"Posisi: C adalah referensi. Berhadapan C adalah A. Sebelah kanan C adalah B. Berhadapan B adalah E. Sisa kursi: kiri C dan sebelah kiri A (atau kanan E). D tidak mau sebelah A atau C. Jadi D harus duduk di antara E dan B (tapi posisi itu sudah diisi berhadapan). Mari kita urut melingkar searah jarum jam: C, B, (kiri B?), A, (kiri A?), (kiri C?). D tidak mau sebelah A atau C, maka D harus di sebelah B dan E. Urutan: C, B, D, A, E, F. Kiri C adalah F.",,,,,,
33,TIU,Kemampuan Verbal,,Psikologi : Perilaku : Observasi,Meteorologi : Cuaca : Payung,Astronomi : Bintang : Teleskop,Seismologi : Gempa : Mitigasi,Kriminologi : Kejahatan : Rehabilitasi,0,0,0,5,0,Analogi 3 kata. Epidemiologi adalah ilmu yang mempelajari wabah; vaksinasi adalah upaya preventif/penanggulangan wabah tersebut. Seismologi adalah ilmu mempelajari gempa; mitigasi adalah upaya preventif/penanggulangan dampak gempa.,,,,,,
34,TIU,Kemampuan Numerik,,10.15,10.00,09.15,09.30,09.45,0,0,0,5,0,"Selisih waktu berangkat = 30 menit = 0,5 jam. Jarak yang ditempuh X selama 0,5 jam = 60 * 0,5 = 30 km. Sisa jarak saat Y berangkat (07.30) = 310 - 30 = 280 km. Waktu berpapasan (t) = Sisa Jarak / (V1 + V2) = 280 / (60 + 80) = 280 / 140 = 2 jam. Kereta berpapasan 2 jam setelah 07.30, yaitu pukul 09.30.",,,,,,
35,TIU,Kemampuan Numerik,,"251,6",225,235,255,245,5,0,0,0,0,"0,125 = 1/8. 1/8 x 640 = 80. Kemudian, 33,33% = 1/3. 1/3 dari 80 = 26,66... Kuadrat dari 15 = 225. 225 + 26,66 = 251,66. Pilihan D paling mendekati.",,,,,,
36,TIU,Kemampuan Numerik,,115,127,129,133,131,0,0,5,0,0,"Pola selisih: 5-3=2, 9-5=4, 17-9=8, 33-17=16, 65-33=32. Selisihnya adalah bilangan berpangkat 2 (dikali 2). Selisih berikutnya adalah 32 x 2 = 64. Maka 65 + 64 = 129.",,,,,,
37,TIU,Kemampuan Numerik,,10 orang,8 orang,12 orang,6 orang,4 orang,0,0,0,5,0,"Total beban = 24 org x 30 hr = 720. Selesai 10 hr = 24 x 10 = 240. Sisa beban = 720 - 240 = 480. Sisa waktu normal = 20 hari. Karena henti 4 hari, sisa waktu efektif = 20 - 4 = 16 hari. Pekerja yg dibutuhkan untuk sisa = 480 / 16 = 30 orang. Tambahan pekerja = 30 - 24 (awal) = 6 orang.",,,,,,
38,TIU,Kemampuan Numerik,,Rp 450.000,Rp 400.000,Rp 600.000,Rp 550.000,Rp 500.000,0,0,0,0,5,"Harga jual Toko B (setelah diskon) = Rp 640.000. Keuntungan B = Rp 40.000. Artinya harga beli Toko B (yg mana harga jual Toko A) = 640.000 - 40.000 = Rp 600.000. Harga jual Toko A = Rp 600.000, dimana ini adalah modal A + 20% modal A = 1,2 Modal A. Modal A = 600.000 / 1,2 = Rp 500.000.",,,,,,
39,TIU,Kemampuan Verbal,,"Seluruh penerbangan dibatalkan karena alasan operasional, bukan cuaca",Cuaca tidak buruk atau angin tidak kencang,Tidak dapat ditarik kesimpulan,Penerbangan tidak dibatalkan meskipun cuaca buruk,Cuaca hari ini cerah namun angin sangat kencang,0,5,0,0,0,"P1: (A n B) -> C. P2: C -> (D v E). Fakta: ~D n ~E yang ekivalen dengan ~(D v E). Melalui Modus Tollens, ~(D v E) menghasilkan ~C. Kemudian ~C pada P1 menghasilkan ~(A n B) yang berdasar hukum De Morgan adalah ~A v ~B (Cuaca tidak buruk ATAU angin tidak kencang).",,,,,,
40,TIU,Kemampuan Numerik,,X dan Z pasti bilangan genap,Z harus lebih besar dari X,Y bukan bilangan prima,X harus sama dengan 1,X + Z selalu lebih besar dari Y,0,0,5,0,0,"Jika X, Y, Z bil bulat positif. X < Y dan Z < Y. Karena X x Z = Y, maka Y adalah hasil kali dua bilangan bulat yang lebih kecil darinya. Ini merupakan definisi dari bilangan komposit (bukan bilangan prima). Opsi C PASTI benar.",,,,,,
41,TIU,Kemampuan Figural,,Lingkaran dengan tanda (x) di dalamnya,Segitiga dengan tanda (x) di dalamnya,Segienam dengan tanda (-) di dalamnya,Segienam dengan tanda (+) di dalamnya,Segienam dengan tanda (x) di dalamnya,0,0,0,0,5,"Sisi luar bertambah 1 garis lengkung(0 sisi)->4 sisi(persegi)->5 sisi(segilima). Berikutnya 6 sisi (Segienam). Tanda dalam: (+) rotasi 45 derajat menjadi (x), rotasi 45 lagi menjadi (+), berikutnya rotasi 45 lagi kembali menjadi (x). Jadi Segienam dengan tanda (x).",,,,,,
42,TIU,Kemampuan Verbal,,"R, T","S, V","Q, T","P, S","R, U",0,0,0,0,5,"Pola melompat 2 huruf. C(D,E) F(G,H) I(J,K) L(M,N) O(P,Q) R(S,T) U. Maka dua huruf selanjutnya adalah R, U.",,,,,,
43,TIU,Kemampuan Numerik,,x = 2y,x > y,x = y,Hubungan x dan y tidak dapat ditentukan,x < y,0,5,0,0,0,"Luas bujur sangkar (x) = sisi x sisi = 4 x 4 = 16. Luas lingkaran (y) = pi x r^2 = 3,14 x 2^2 = 3,14 x 4 = 12,56. Karena 16 > 12,56, maka x > y.",,,,,,
